# Evaluation Metrics for Bungoma
# Rainfall RMSE: 45.2662, MAE: 33.9526, R²: 0.5181
# Soil Moisture RMSE: 8.0497, MAE: 6.3949, R²: 0.7943
# Temperature RMSE: 0.1622, MAE: 0.1294, R²: 0.9721
Date,Bungoma_rain_forecast,Bungoma_soil_forecast,Bungoma_temp_forecast
2024-10-31,139.67761658223685,56.07811325354595,18.28697076329263
2024-11-30,122.9832645201595,53.73188832945275,18.561732866855657
2024-12-31,88.14508153084164,44.335851711730996,18.408937338892397
2025-01-31,47.328509617974305,27.829071615322196,18.420745933732896
2025-02-28,29.390333777983198,12.099809140177397,19.13422402177846
2025-03-31,57.89234021983726,5.210957307834414,20.20369184697354
2025-04-30,125.3057004714008,10.605887786070278,20.645523623972505
2025-05-31,172.4795654403791,23.916279102907975,19.863574415514616
2025-06-30,173.63036434770305,35.30930541779204,18.65132697811827
2025-07-31,159.7989672303363,40.510604090051466,17.787358037458702
2025-08-31,149.56160960564517,41.24654100998841,17.524109560624854
2025-09-30,143.3882718724048,40.996133277831085,17.83055590972215
2025-10-31,134.72718937404835,41.52964149864945,18.336839813954583
2025-11-30,114.70354289820379,40.49093692691245,18.52811601144125
2025-12-31,80.0045370985424,33.03416063899611,18.367069200448878
2026-01-31,44.088373796272904,19.278585134318146,18.48416750822812
2026-02-28,34.30270134038131,7.097470097982865,19.271086095795457
2026-03-31,70.08455012672654,3.632231718596698,20.29634156546155
2026-04-30,137.99177775043762,11.607138248746006,20.59272306815525
2026-05-31,179.66110489176967,25.92189269501814,19.706689658137872
2026-06-30,174.42794004907302,36.80739693889808,18.501565270305054
2026-07-31,158.33817673886293,41.17836151110648,17.700292009345645
2026-08-31,147.23761830578619,41.26620036869761,17.518935431155334
2026-09-30,140.14475140001835,40.724611961541974,17.887923927275384
2026-10-31,129.76644030685173,40.92169202475925,18.392598476825775
2026-11-30,107.46072624616059,38.95022021162217,18.52438187524482
2026-12-31,71.30734134946965,30.14100647627579,18.356912932588212
2027-01-31,37.41050218076274,16.000452756843043,18.5572437663686
2027-02-28,33.59292109173466,4.741613531941672,19.430905247221474
2027-03-31,76.37172877412999,2.9151785921558817,20.4056821095981
2027-04-30,144.37231266373294,12.265598642781436,20.513907540662515
2027-05-31,178.50627621757272,26.515005947826083,19.521648295689776
2027-06-30,170.81919544219406,36.552098430722054,18.35013811511856
2027-07-31,155.7199240851922,40.320402330979626,17.641170794264823
2027-08-31,145.874425940071,40.42356648725488,17.55918946027882
2027-09-30,138.93707622165314,40.21040669713783,17.97963794504381
2027-10-31,127.39152901418048,40.52509431474516,18.446451191900753
2027-11-30,102.92628409553188,37.89960868146092,18.508260282078805
2027-12-31,65.80511445172975,28.085803537107957,18.351682108574547
2028-01-31,34.69534512216613,13.907058840365373,18.654149066414487
2028-02-29,37.11989722178372,3.7616509523303074,19.594304219757728
2028-03-31,85.69323350484451,3.5246910657092325,20.496876547749096
2028-04-30,152.02130507239502,14.025284245449273,20.427504573900695
2028-05-31,178.6450203840345,27.969332827994595,19.35000779014156
2028-06-30,168.33288230478288,37.03432634468905,18.225171904614054
2028-07-31,153.82096714394123,40.07637862241266,17.60366241811795
2028-08-31,144.71079540665136,39.989231757598645,17.608375167146463
2028-09-30,137.60444292139178,39.92043570876116,18.0666903110958
2028-10-31,124.6257126604092,40.127276512203,18.490960862767405
2028-11-30,97.97092572524875,36.64955754880103,18.49031423200062
2028-12-31,60.2554008165069,25.86025590979952,18.361727755870305
2029-01-31,32.519164964233255,11.822009160100453,18.769137037149186
2029-02-28,41.5411060163031,2.9004917933861694,19.758808675719546
2029-03-31,95.58201629501855,4.310362202432327,20.56985506497695
2029-04-30,159.21458033608252,15.900794090293957,20.32245162989685
2029-05-31,178.5976706232764,29.47351180435795,19.180045731989487
2029-06-30,166.3043188701989,37.62788184851996,18.109841961055743
2029-07-31,152.4567319876756,40.03390171239495,17.576464865659098
2029-08-31,143.9528103973673,39.819875630568205,17.663867630475448
2029-09-30,136.48314261455508,39.88634335784359,18.150373745297316
