# Evaluation Metrics for Murang'a
# Rainfall RMSE: 97.5652, MAE: 61.4424, R²: 0.4529
# Soil Moisture RMSE: 4.1518, MAE: 2.4182, R²: 0.7256
# Temperature RMSE: 0.1143, MAE: 0.0895, R²: 0.9862
Date,Murang'a_rain_forecast,Murang'a_soil_forecast,Murang'a_temp_forecast
2024-10-31,38.020089051060495,1.9203873681414194,18.604555625757587
2024-11-30,66.17987983822059,1.8699761421498096,19.20013606779586
2024-12-31,120.61586273341891,3.730507961129547,18.62761019323122
2025-01-31,107.95577398506794,5.385494215271251,18.337744717080966
2025-02-28,58.23302508568486,4.270898483465828,18.901645094056395
2025-03-31,65.77314377372932,1.6809928226093405,19.781283499447067
2025-04-30,181.7282570987809,3.7491710732384718,20.055712713236897
2025-05-31,256.74484654402477,11.95249862399578,19.243278266951794
2025-06-30,133.45340573616886,10.518891828003234,18.13707737824821
2025-07-31,38.92100765212763,3.1835648969988313,17.31124325271959
2025-08-31,24.320893446679293,0.36755742331377306,17.051578182889074
2025-09-30,25.382779259557537,0.13361254173791437,17.643889846633424
2025-10-31,24.82583070218743,0.033359370594148174,18.66986656739261
2025-11-30,53.863190406830654,0.07865147158245023,19.005371207874695
2025-12-31,92.44257495496095,1.50124605669032,18.558617508625105
2026-01-31,77.4817837246319,2.5347310283211186,18.469697176744063
2026-02-28,44.012716994887796,1.487242543588593,19.08724644642725
2026-03-31,71.90934150803514,-0.023764665524012685,19.87783211904802
2026-04-30,189.0985943269843,3.5548032011653845,19.99347457556426
2026-05-31,226.8670513521647,10.699424256319503,19.118237448927612
2026-06-30,107.6965693898128,8.144465588016999,18.048972599064548
2026-07-31,38.79139978643434,2.4014007519421057,17.30654105091359
2026-08-31,32.4015933629189,0.5388462307544302,17.158026395934375
2026-09-30,36.03265151438336,0.6779911966981373,17.809848975470924
2026-10-31,40.24010469273435,0.8158516988523985,18.777243425561196
2026-11-30,73.29446467191337,1.2695448545263446,19.00511533790296
2026-12-31,105.59763133715387,2.8866759603353387,18.57573636561484
2027-01-31,84.19302901392075,3.697527750652199,18.54814312719497
2027-02-28,51.45952325361486,2.403643736214235,19.159694163752295
2027-03-31,81.21543905499675,0.874179871499571,19.883563711494915
2027-04-30,191.6703502480632,4.399633113694989,19.913741919649752
2027-05-31,216.8782532676487,10.660443290536705,19.011997819822305
2027-06-30,105.4634632256384,7.8075520490870645,18.011598113629756
2027-07-31,42.8483648526535,2.534820933062605,17.34070691639484
2027-08-31,36.369321823925475,0.8380258846198103,17.26910062773454
2027-09-30,38.539634126977035,0.8952188940490942,17.946504687740724
2027-10-31,44.33245203255183,0.9755163407118204,18.825981138472695
2027-11-30,77.40692664913331,1.5147819724510185,18.970031729355746
2027-12-31,103.31478007386431,3.035816804224851,18.593669330450986
2028-01-31,80.50404070673721,3.6020699238619898,18.64645893088201
2028-02-29,54.64253586103405,2.240780833585518,19.269570351398364
2028-03-31,94.36992749448655,1.1790177312472991,19.913445068450514
2028-04-30,199.84885880668662,5.306574535600475,19.812557430037327
2028-05-31,199.95491932246296,10.388861766224068,18.885900421688977
2028-06-30,94.24734095966232,6.815632109417038,17.948421479577224
2028-07-31,42.568099048824024,2.1856638204119605,17.358959455995475
2028-08-31,37.95675787159598,0.8363604842453043,17.384661121795773
2028-09-30,39.48617189046308,0.9116226474828011,18.101514998629657
2028-10-31,47.844384202035144,0.9825472931323418,18.891161780820266
2028-11-30,81.8366013302475,1.657399624891255,18.934043644101468
2028-12-31,101.10956991893181,3.109277937598108,18.6007895560299
2029-01-31,76.19399034948583,3.421951180936958,18.736221216828145
2029-02-28,57.07738418226472,1.9922937055987688,19.37344226381452
2029-03-31,106.36675939076667,1.4225797168409144,19.936141838284
2029-04-30,205.14705151446105,6.045745368215705,19.715978862616275
2029-05-31,184.95359257371456,10.04249988776104,18.776809707570095
2029-06-30,85.25414643373006,5.999389742023027,17.890186235841227
2029-07-31,42.53749139157799,1.9291334620477159,17.375591660908583
2029-08-31,39.58911985750365,0.8729490107089148,17.492606725846088
2029-09-30,41.033910413604644,0.9691851623100831,18.241557441572542
