# Evaluation Metrics for Baringo
# Rainfall RMSE: 60.5417, MAE: 45.8524, R²: 0.2805
# Soil Moisture RMSE: 9.5966, MAE: 7.4810, R²: 0.7263
# Temperature RMSE: 0.1650, MAE: 0.1312, R²: 0.9651
Date,Baringo_rain_forecast,Baringo_soil_forecast,Baringo_temp_forecast
2024-10-31,90.35139277453708,50.26994848200944,21.2374532463709
2024-11-30,90.85941368142083,32.725057541998844,21.469207517300777
2024-12-31,88.45261952819963,27.837723576157444,20.52670211468081
2025-01-31,33.67092223736562,18.669311134870675,20.233159313910743
2025-02-28,6.758941739486999,10.212747523478809,20.95846306179042
2025-03-31,18.688545283932168,3.33638107003131,22.162367438026443
2025-04-30,73.80418164762249,2.604111560356938,22.767279284861218
2025-05-31,114.56015596062024,14.709278025837994,22.145198845395413
2025-06-30,106.4175833722529,24.980199346609847,21.144677879126778
2025-07-31,103.21100537855817,26.635134892099067,20.264534844881535
2025-08-31,127.2959992647902,31.969205562374412,19.655865691571815
2025-09-30,128.7401247859179,39.0840416685644,19.90896615177081
2025-10-31,75.05478403317646,32.42084264657688,21.28647697304467
2025-11-30,88.230164264658,22.47786271275507,21.55551522758436
2025-12-31,104.93294012437944,24.260127917676257,20.64045296551401
2026-01-31,56.14586600076017,19.570033022146173,20.342752274404063
2026-02-28,32.87057456114962,14.183589543094678,21.008886573111997
2026-03-31,42.737866753614064,9.288367813191332,22.094957153084007
2026-04-30,86.75654277981992,8.75859203452501,22.619723845427455
2026-05-31,118.7103792587495,18.931181255611264,21.995315457439975
2026-06-30,108.8461759055699,26.849120572735423,21.038356108703013
2026-07-31,103.96522148520124,27.56899754215439,20.21572098612621
2026-08-31,116.82857991972013,30.537319941646963,19.728171647377263
2026-09-30,104.77026125537849,33.251359787585194,20.107750871163905
2026-10-31,58.60736202683983,24.756874747783666,21.27199797138115
2026-11-30,73.46825321517916,17.176686084750372,21.337166782696997
2026-12-31,78.66542633160223,17.393234984863867,20.64204698608
2027-01-31,43.80443315282627,13.490450756936536,20.521589231076533
2027-02-28,29.732122633903593,9.398382068217982,21.187760780508505
2027-03-31,47.653229863031804,6.570123995621321,22.131834926417437
2027-04-30,92.34641033065417,8.957570909806229,22.477711668498863
2027-05-31,116.44015102527372,19.609644425275114,21.81828116973419
2027-06-30,106.99850088625861,26.203016681677,20.91169943410526
2027-07-31,106.96106219295869,27.45573702860548,20.138572186749432
2027-08-31,119.30312261458855,31.20380562058193,19.74783260169587
2027-09-30,100.12437240750477,32.811971222060116,20.282563086661867
2027-10-31,59.478292132173905,23.347539138520823,21.362720557654356
2027-11-30,81.91389977242214,18.204277005482567,21.180037241994793
2027-12-31,73.04104713040941,17.738928094755163,20.557063228613156
2028-01-31,38.62189770256963,13.105552178153076,20.605828195793183
2028-02-29,29.09348059716785,8.779733429880556,21.349148877197685
2028-03-31,51.95509065544865,6.176342870821421,22.21181466995561
2028-04-30,96.18772028278362,9.935222804124994,22.36747214186694
2028-05-31,113.48980941047374,20.533807191666586,21.629900710602307
2028-06-30,103.99556075106555,25.771661724849828,20.752016001501673
2028-07-31,107.48018330958983,27.27094701334601,20.045714003163486
2028-08-31,117.07708929748331,31.229561783293903,19.79450321343619
2028-09-30,90.88488925114142,31.1446461747454,20.478580831142878
2028-10-31,59.46506895828314,21.339841879783716,21.399536468178226
2028-11-30,84.38330420765486,18.11853251325298,21.047828879132858
2028-12-31,67.24635521455455,17.067984431447435,20.510160132443364
2029-01-31,36.47488228758174,12.491854965206768,20.703413562778294
2029-02-28,32.571116495405015,8.49809042261859,21.507141171276192
2029-03-31,60.354840983254675,6.672881264636591,22.27484622097996
2029-04-30,101.93780543702995,11.974993729055422,22.239998168645425
2029-05-31,111.8986551393882,22.074828353488975,21.444774146560963
2029-06-30,103.16107404637295,25.993104927872018,20.598471842987816
2029-07-31,109.20142184084214,27.764643259817753,19.961966171504795
2029-08-31,113.89253521818135,31.461313771335107,19.865285076932153
2029-09-30,80.98580652864074,29.20809192943354,20.684560483537194
