# Evaluation Metrics for Embu
# Rainfall RMSE: 94.8633, MAE: 56.8505, R²: 0.5370
# Soil Moisture RMSE: 11.5653, MAE: 7.2777, R²: 0.7234
# Temperature RMSE: 0.1436, MAE: 0.1117, R²: 0.9805
Date,Embu_rain_forecast,Embu_soil_forecast,Embu_temp_forecast
2024-10-31,13.15621934795945,9.224352567401565,22.360124988428144
2024-11-30,74.72808112113307,10.588730560694216,23.15532744481776
2024-12-31,209.56723385953956,33.94576372526275,22.23234025656376
2025-01-31,117.86950626691032,39.414172362885154,21.834270897766153
2025-02-28,55.72281480492893,28.56034307479926,22.564162779101057
2025-03-31,44.9530606845874,18.85484065456947,23.71059113591747
2025-04-30,137.5935596961317,22.425267290614062,24.316951254677864
2025-05-31,294.22162792579184,54.3838964398395,23.368049417422732
2025-06-30,68.15650065410227,42.51390999442657,22.26248410907446
2025-07-31,15.48873516276808,20.983398324944154,21.218291303080097
2025-08-31,23.884097038735945,12.224162739390316,20.73258141511852
2025-09-30,24.86855538132113,9.33183542247363,21.14245276369553
2025-10-31,15.809195462033585,6.47314226622607,22.305265553436705
2025-11-30,61.04295665139398,7.348040474163456,22.90322253443449
2025-12-31,142.3434870511992,21.419116798339203,22.181050801024643
2026-01-31,81.34405261518077,23.333139359203773,21.869046728493373
2026-02-28,38.60754617282328,15.531622665315183,22.595525871410775
2026-03-31,43.193927025096855,9.780558994953575,23.709697155693117
2026-04-30,146.6752769378072,19.010284740768768,24.22212413317405
2026-05-31,243.30763307712186,46.5261753924955,23.370656191906903
2026-06-30,56.51724100929823,34.7871546214439,22.327937831503583
2026-07-31,19.194952970596205,17.770652711087244,21.29750168163233
2026-08-31,23.497206176873988,10.260649903745891,20.78812439264008
2026-09-30,23.021351043771574,7.790309151152012,21.12629424385683
2026-10-31,14.894740597032978,5.150798231479887,22.265696910956468
2026-11-30,66.2673601197439,7.032622081400335,22.883672969361477
2026-12-31,157.3398290471887,23.5015563180074,22.15027591177753
2027-01-31,93.05643821162266,26.986415477107805,21.830658499159444
2027-02-28,43.30028356427829,18.783921827219295,22.48740815178953
2027-03-31,35.912160097203014,11.17078879669236,23.57566561610959
2027-04-30,119.3445268577816,15.441308982019667,24.183645400432557
2027-05-31,258.6303683646256,44.63282989010113,23.35678001601655
2027-06-30,76.46137783845734,38.09903848891438,22.321186691818614
2027-07-31,20.088804171605716,19.466155049567682,21.380085833776214
2027-08-31,23.3906455544211,11.093692084449748,20.87047468674227
2027-09-30,24.188071782880797,8.074338951838984,21.151714923877734
2027-10-31,18.65845886659372,5.6810242874983805,22.18390905062602
2027-11-30,64.18192646394891,7.36019191434812,22.82289474968839
2027-12-31,151.01806399727138,22.45295875113194,22.18661821140791
2028-01-31,97.02191611881972,26.743817274048546,21.81681355039903
2028-02-29,45.707375779689755,19.05734637311921,22.386628531357587
2028-03-31,37.131003703842,11.778714611542023,23.4083260590791
2028-04-30,107.42678684265047,14.577360920778425,24.054072984465755
2028-05-31,244.06330095276644,40.991824518926855,23.366649447154863
2028-06-30,93.72181964797528,38.691056764418356,22.359647462051736
2028-07-31,23.995450702592734,20.630575958954896,21.473791818411343
2028-08-31,24.754869337219134,11.951161937426418,20.955434311531754
2028-09-30,26.173332622619455,8.620278845484835,21.1585409534053
2028-10-31,22.297160097273718,6.458081529082625,22.077642712925343
2028-11-30,60.008231141311626,7.686102426381399,22.74474291557182
2028-12-31,140.45136690107756,20.850429123429027,22.250899811079204
2029-01-31,101.5781101397697,26.174640030901607,21.83810064272416
2029-02-28,49.25949176697941,19.34669902845879,22.29644347470961
2029-03-31,39.00261056970703,12.458719407042414,23.228586291653855
2029-04-30,95.04694982238834,13.770719770030006,23.90575489476215
2029-05-31,223.57142794682295,36.606974379910845,23.390273185472882
2029-06-30,112.75975094951355,38.82986924396383,22.41579356533516
2029-07-31,29.64044792734785,21.938735199726345,21.574090872657774
2029-08-31,26.198624370903417,12.879667181619158,21.03972213850813
2029-09-30,27.66062444905583,9.153409741608414,21.16225380388575
