# Evaluation Metrics for Kakamega
# Rainfall RMSE: 48.2005, MAE: 38.9246, R²: 0.5486
# Soil Moisture RMSE: 12.4120, MAE: 9.5773, R²: 0.7397
# Temperature RMSE: 0.2168, MAE: 0.1749, R²: 0.9458
Date,Kakamega_rain_forecast,Kakamega_soil_forecast,Kakamega_temp_forecast
2024-10-31,170.76299898598765,91.5560419273097,20.30875552951151
2024-11-30,144.75269392187136,89.99390629271511,20.513018434159058
2024-12-31,108.06821131907448,82.38042381874402,20.52257360920416
2025-01-31,69.38238485262193,66.77124069740239,20.62223438093746
2025-02-28,49.567761293609124,45.89420265931403,21.17477166607986
2025-03-31,83.78301878373408,32.6048277385089,22.094150709604587
2025-04-30,185.51687155159138,45.565077662489784,22.428491340816056
2025-05-31,255.84311286169947,74.35537568746804,21.44099840385102
2025-06-30,239.153604174121,89.78247160978208,20.219235796688693
2025-07-31,204.95017284502327,92.7622082334201,19.486431861062407
2025-08-31,190.07101355975433,91.96623743812233,19.40994871684399
2025-09-30,185.30636476487436,92.29927262224373,19.811506564103123
2025-10-31,173.04369458797754,93.15287915671797,20.27713591662438
2025-11-30,147.57239580385888,91.41490629901818,20.50563333560109
2025-12-31,110.19816398363136,83.73881866993906,20.507442638835588
2026-01-31,69.5826901048858,67.80638110251311,20.580868453257853
2026-02-28,47.65210527741538,46.35153384435762,21.119945488908254
2026-03-31,83.0765247082691,32.43194686995048,22.103317684897274
2026-04-30,190.5155337990673,46.87498777213841,22.439945227068517
2026-05-31,258.90151160254476,76.51686082592641,21.37053404729726
2026-06-30,237.1889040429519,90.43735947473033,20.167220896155506
2026-07-31,203.2736702637762,92.97017012197466,19.457109247737392
2026-08-31,189.63473970084505,92.17190696619946,19.407228539680613
2026-09-30,185.20871910561107,92.5795993247666,19.83106757870516
2026-10-31,172.24138675976556,93.37068502084003,20.293962497116024
2026-11-30,145.04206792551946,91.29291583305894,20.51916209093175
2026-12-31,106.17638409299413,82.98565441293613,20.512998981883882
2027-01-31,65.75808385873688,66.22755075988971,20.602949685300185
2027-02-28,47.19919860368378,44.51361143494432,21.195178915062826
2027-03-31,88.20103949363083,32.1833232493409,22.16180934731284
2027-04-30,195.17608324567243,47.96255735975501,22.406031816391273
2027-05-31,258.3076153529853,76.9903465650932,21.31575015768038
2027-06-30,235.3832604555466,90.71020833928196,20.1076431685129
2027-07-31,202.08442120290124,92.75226940155699,19.44043194231395
2027-08-31,189.36191447961022,91.91670137263282,19.43761350699662
2027-09-30,184.54875097393162,92.46737378746184,19.86371387301033
2027-10-31,170.6791570504435,93.16044131139643,20.312532412256783
2027-11-30,142.57134703596728,90.78122408593481,20.521357902416476
2027-12-31,103.18747455223499,81.94799504619732,20.510734543738906
2028-01-31,63.30722823067337,64.63544053587975,20.628469258006785
2028-02-29,47.37604760951419,42.956679722123226,21.26241322736476
2028-03-31,92.76958465669716,31.81476174761337,22.226227791756124
2028-04-30,201.66809103572902,49.3206544675777,22.393533065072237
2028-05-31,259.69435177934224,78.28633651335986,21.248399131727393
2028-06-30,233.68591783686642,91.13952793325006,20.053254486300368
2028-07-31,200.96188267045466,92.779429920869,19.419552794425595
2028-08-31,189.24655478852875,91.94435198280553,19.45228481164528
2028-09-30,184.3720252156344,92.58495343567483,19.895393836279133
2028-10-31,169.73745626217476,93.22574460113537,20.33914602441503
2028-11-30,140.74142368452027,90.58853406097478,20.532469259475626
2028-12-31,100.75048987381783,81.27616479289281,20.514653150203316
2029-01-31,61.18205981126914,63.43269432620582,20.65230626932149
2029-02-28,47.54697513159007,41.71531382564717,21.321333564763698
2029-03-31,97.77141772707283,31.775543939169435,22.28543616781356
2029-04-30,208.3532613232841,51.045571410144476,22.368500282531368
2029-05-31,260.382431552914,79.57629781706055,21.17813823872267
2029-06-30,231.77661186971312,91.56250269500015,19.999517213663047
2029-07-31,199.90455328739563,92.81681911072519,19.402522810795706
2029-08-31,189.21529473237908,92.01058802611806,19.47024871592137
2029-09-30,184.22706370794094,92.74209869874903,19.926808596168996
