# Evaluation Metrics for West Pokot
# Rainfall RMSE: 48.8729, MAE: 38.3975, R²: 0.3228
# Soil Moisture RMSE: 11.8247, MAE: 9.1398, R²: 0.7293
# Temperature RMSE: 0.2954, MAE: 0.2545, R²: 0.9082
Date,West Pokot_rain_forecast,West Pokot_soil_forecast,West Pokot_temp_forecast
2024-10-31,89.30819741362939,68.90885517091984,23.470697921465536
2024-11-30,83.32603009330342,57.3199954736898,23.763310951552462
2024-12-31,65.55856795202999,50.2402522331527,22.866711370397287
2025-01-31,22.674246860515268,35.902306769385106,22.69804380976728
2025-02-28,-2.658912875040187,17.524534836505595,23.656330675832198
2025-03-31,18.411200274931616,7.382861824921465,24.92860311092175
2025-04-30,74.48129921322106,15.16693555653309,25.48906548831148
2025-05-31,109.59969702307717,34.20109233411632,24.724403971537416
2025-06-30,107.24392011325108,46.38648631810884,23.382642847258474
2025-07-31,96.86498406445025,50.53369401913791,22.234598598414387
2025-08-31,90.02033867436694,53.054257198676126,21.64212713858385
2025-09-30,81.24553583184024,53.927325752941954,21.992040347986286
2025-10-31,68.18597660021624,48.62317779530181,23.193606437840586
2025-11-30,65.0592162492103,41.456505831637664,23.724514555680013
2025-12-31,59.83239598645014,39.19638127341113,22.909570020860155
2026-01-31,27.170572475733934,30.646607012624177,22.63491482107099
2026-02-28,5.922950467765986,16.355227429391746,23.52996762861272
2026-03-31,28.36803464924742,9.13632941733364,24.790941959877287
2026-04-30,83.0858607274422,18.767208250884856,25.335337035045253
2026-05-31,112.42274200340034,37.55448356224892,24.491349863924643
2026-06-30,104.77115271714865,47.76076645503713,23.10515683554365
2026-07-31,93.38216921969433,50.6943112741388,21.97589166219918
2026-08-31,85.89254317630548,52.582676174221405,21.47942657237719
2026-09-30,75.2127963482053,52.48702538474383,22.01602590671137
2026-10-31,60.78489621831977,45.297965764638974,23.364753889321232
2026-11-30,60.704790008458076,38.29538097590096,23.652059617736082
2026-12-31,51.848307635737,36.552227219997334,22.63332237548655
2027-01-31,13.989450043482066,25.734053976546743,22.58231018498893
2027-02-28,-1.542543262212348,10.91265038059957,23.71244160743221
2027-03-31,31.913316362442856,6.169938177737755,25.017396953553263
2027-04-30,91.49006998268305,19.9479569404445,25.365694319596223
2027-05-31,114.43377618925297,39.826641624831566,24.288139717061174
2027-06-30,102.83072430684115,48.57228285601377,22.836491830567347
2027-07-31,92.20313103069202,51.15495982652138,21.765350374448904
2027-08-31,85.5983000008564,53.46763365284646,21.42484404235441
2027-09-30,73.79944638596498,52.456863773086,22.25311427053873
2027-10-31,61.66069506689382,44.06061122591434,23.679068272243434
2027-11-30,66.80281018343521,39.292287858267805,23.50629424266811
2027-12-31,48.85655430589395,37.4360475213392,22.404127670890894
2028-01-31,6.5035409693791735,23.553670847371333,22.689036471104536
2028-02-29,-2.1392451691554015,8.50736681040447,23.995388213445167
2028-03-31,40.10356413782574,6.264301649166143,25.246320663023145
2028-04-30,99.74516881193267,23.038827039233368,25.350446440556198
2028-05-31,115.30301550228614,42.40040468245431,24.102433596017704
2028-06-30,101.93955532886321,49.691254181135236,22.655615034584606
2028-07-31,92.17203576627071,52.07141350139089,21.649482641398006
2028-08-31,85.49834171572002,54.36383500661387,21.455002058638314
2028-09-30,72.4625678602024,52.26869846790943,22.491104534325242
2028-10-31,62.526001079095295,43.119893135029166,23.865155074023875
2028-11-30,69.14529858768219,39.983652721064,23.334618648288824
2028-12-31,43.35834838821029,36.82117103766422,22.31538733491689
2029-01-31,1.2210402949222043,21.195109554342636,22.834034654234195
2029-02-28,-0.39103717049329134,6.7557947451629925,24.23150671596292
2029-03-31,48.899251799230115,7.096600382050779,25.411990636152552
2029-04-30,106.6278240075917,26.18690633063576,25.29272702959469
2029-05-31,114.90787004950107,44.370537911928984,23.91435690533076
2029-06-30,100.6704909435939,50.322306942153986,22.495285584627453
2029-07-31,91.7716217074485,52.60246139071819,21.55721202756622
2029-08-31,84.833989051549,54.79201422815757,21.50235347667884
2029-09-30,70.77901828452013,51.611232053613634,22.709487553733815
