# Evaluation Metrics for Makueni
# Rainfall RMSE: 77.4538, MAE: 48.3624, R²: 0.3716
# Soil Moisture RMSE: 10.6424, MAE: 7.1287, R²: 0.7209
# Temperature RMSE: 0.1520, MAE: 0.1209, R²: 0.9808
Date,Makueni_rain_forecast,Makueni_soil_forecast,Makueni_temp_forecast
2024-10-31,9.794038337900702,6.666394787552355,22.357623749495854
2024-11-30,53.92612853188757,9.682287882541473,23.084388124109886
2024-12-31,118.71975091689546,26.70814492054027,22.86089111340938
2025-01-31,114.00039159488733,42.06594359207057,22.4489159351507
2025-02-28,41.878225736373224,31.8025878021604,23.129338708233288
2025-03-31,54.30791297107908,20.807962536258124,24.15713865824732
2025-04-30,110.59216600839773,29.212271760795282,24.150900391509474
2025-05-31,103.58939635754814,34.98737999423091,23.17961343896321
2025-06-30,56.63199499593793,27.318873715798244,21.89334092847913
2025-07-31,16.79542273288132,15.38216420278706,20.908059761775792
2025-08-31,-2.1548504540313616,7.487820601456687,20.687048501059966
2025-09-30,-3.486178280750323,3.69020845641634,21.35850210702117
2025-10-31,14.474201902424511,2.618917682700998,22.39942329987038
2025-11-30,64.8110001019736,9.353701716468834,22.979719760650685
2025-12-31,125.13935807446433,28.64176945234779,22.704063484169463
2026-01-31,108.41199632914959,41.966639008656344,22.417464305083897
2026-02-28,41.32520741143753,30.453189348868488,23.20197158425148
2026-03-31,62.088852451562616,21.854040438372458,24.114718390815877
2026-04-30,112.1168522062444,30.558765653149386,23.99454563848998
2026-05-31,100.90251279785116,35.07786996414276,22.9987546369454
2026-06-30,55.9681645401206,27.232748998183858,21.760415932250833
2026-07-31,19.472388527647354,16.17905685019884,20.853500729597535
2026-08-31,2.9513079542605283,9.057568972341745,20.73196617953934
2026-09-30,3.0701319506326286,5.735943503253479,21.425267055586396
2026-10-31,22.660461621588865,5.32727654547541,22.404648126386387
2026-11-30,72.85036641323586,13.019972545695143,22.892267683758657
2026-12-31,125.6944777356166,31.713076299205404,22.59984789164921
2027-01-31,101.8189955791695,42.323252365419165,22.425177361235964
2027-02-28,43.3181371935616,30.647408030727238,23.213840670156035
2027-03-31,68.2550442984566,23.962936718817005,24.015993952773645
2027-04-30,110.71040786375943,32.07673237515333,23.806672237798747
2027-05-31,95.88809918740026,34.99620582225429,22.811266185376915
2027-06-30,53.234851456400065,26.872443260383307,21.64861702966167
2027-07-31,19.462461381751154,16.402828598510705,20.835520241281273
2027-08-31,4.180785077737767,9.684493638639754,20.776227085490348
2027-09-30,4.870638852330558,6.450636515399262,21.469338770838664
2027-10-31,25.07033361601225,6.294763084454017,22.38629589141555
2027-11-30,73.7273907700428,14.286324667385905,22.805532159098608
2027-12-31,119.80688387945338,31.81235564994739,22.530912779000953
2028-01-31,94.13738592809841,40.402978720856666,22.443547690960134
2028-02-29,45.273197061290375,29.673934339352215,23.217603306567554
2028-03-31,72.06987010421926,24.840997265563207,23.917246996816154
2028-04-30,107.792085467986,32.34026240402412,23.642273227623598
2028-05-31,90.34277297546669,34.01946590163936,22.644700361998982
2028-06-30,49.535749237993514,25.780636747095123,21.524205011717953
2028-07-31,18.3370811815289,15.93620359441331,20.788074926814136
2028-08-31,4.789979228429729,9.749033907875816,20.803888400874797
2028-09-30,6.804267904939763,6.813092637600681,21.518785163971582
2028-10-31,28.768333049836883,7.1937324046885704,22.387662782485823
2028-11-30,77.49720461986453,15.970637781129671,22.734062976772517
2028-12-31,117.73616713345473,32.96234309815968,22.45798489148583
2029-01-31,88.32320542134312,39.650352591443955,22.451171345627213
2029-02-28,46.62240917709869,29.18526999786862,23.230864750232257
2029-03-31,75.96170321141108,25.87389670369283,23.835141316375488
2029-04-30,105.96155478699711,32.91421598130794,23.487299573406624
2029-05-31,85.89412746405924,33.475334539312534,22.482800438311887
2029-06-30,46.494915605338974,25.07007908956639,21.403209953379495
2029-07-31,17.449512619778034,15.716520940819391,20.74208476560297
2029-08-31,5.348011158128202,9.940493116662136,20.83047522299931
2029-09-30,8.539073652996876,7.226340026297806,21.566011799993813
