# Evaluation Metrics for Nakuru
# Rainfall RMSE: 68.6193, MAE: 49.8803, R²: 0.2641
# Soil Moisture RMSE: 11.3907, MAE: 9.3373, R²: 0.6663
# Temperature RMSE: 0.1808, MAE: 0.1453, R²: 0.9647
Date,Nakuru_rain_forecast,Nakuru_soil_forecast,Nakuru_temp_forecast
2024-10-31,117.86182299241165,56.28084988110171,15.781883918551664
2024-11-30,104.85801531929458,47.108889574264545,16.28334561784241
2024-12-31,96.8973266756623,40.496950989713085,15.985128151791232
2025-01-31,62.22075486760928,30.231221103565755,15.88796612925369
2025-02-28,32.77178477131668,18.10050415060462,16.366414116916843
2025-03-31,48.91737812226869,9.254863416632421,17.14922537343655
2025-04-30,129.7268557186494,15.73313072860781,17.419214965650507
2025-05-31,171.11161877159574,37.25108480341341,16.47540204773989
2025-06-30,121.10697177464264,44.52374716626154,15.431071307368649
2025-07-31,99.62991264367871,41.49593350638111,14.748286536192314
2025-08-31,109.63091371381068,41.32816712093534,14.535027289521114
2025-09-30,109.98536209656508,40.14807689622874,15.072230797377369
2025-10-31,94.69282974470924,35.57564450272125,15.97037881532692
2025-11-30,94.04245433352722,32.81725392795358,16.182273434794983
2025-12-31,87.37327244929111,30.004776775798984,15.92867326492515
2026-01-31,59.44006905612786,23.192703429175555,15.99278811650994
2026-02-28,41.00525006258163,14.881631509066304,16.48324229032467
2026-03-31,61.41748675040935,9.88915078220741,17.120616284466433
2026-04-30,127.27657933820132,17.521692461720836,17.218070366984822
2026-05-31,150.50671942963353,34.37274668514063,16.327387279173085
2026-06-30,114.84702982360034,39.64536471829038,15.451197375850876
2026-07-31,100.46883329803721,38.18635031743734,14.867009533269561
2026-08-31,106.64413795420029,38.08796179411018,14.727089929536081
2026-09-30,104.25974746242125,36.5585945500691,15.243364665110118
2026-10-31,91.99829508968486,32.70994631759849,15.97355077117785
2026-11-30,90.79124279164402,30.42479961538518,16.125091656751305
2026-12-31,81.55407630427933,27.473497097488412,15.978056857021286
2027-01-31,57.421129868570915,21.220351546484725,16.106156332182568
2027-02-28,44.26505478008766,13.84658961600926,16.5816075999833
2027-03-31,68.39587669024847,10.43363107454396,17.119622911613686
2027-04-30,126.77415281455119,18.873701446606372,17.06292195652795
2027-05-31,139.9228231453169,33.26898852426209,16.202926686914218
2027-06-30,110.30020142470391,37.38945749937335,15.397850376098871
2027-07-31,100.3725458510157,36.59009738227654,14.886581118192362
2027-08-31,104.95329352526421,36.4633000993194,14.839676654186274
2027-09-30,100.50442001512718,34.66632542368769,15.377433354389408
2027-10-31,90.40740940493001,31.265795403660935,16.002183224946435
2027-11-30,88.82054605770072,29.22091686794872,16.109613830465296
2027-12-31,77.70815850256818,26.04876124025473,16.01538605769743
2028-01-31,55.60104407826737,19.930995044096058,16.19057334904646
2028-02-29,47.16449827867668,13.188379149882616,16.66796930591545
2028-03-31,76.0381863487194,11.244459655189523,17.12738420577417
2028-04-30,129.38742893821782,20.787033397442915,16.932881112559247
2028-05-31,133.50927178084305,33.536327338619316,16.073546451879032
2028-06-30,107.03061877034024,36.48278479752823,15.324717942031773
2028-07-31,100.63661596624071,35.93225377764924,14.883149198215325
2028-08-31,104.22233241009236,35.71500710293024,14.92636854161256
2028-09-30,98.12231128572628,33.6262195983415,15.497093710289395
2028-10-31,89.47985837153051,30.476185097258355,16.043032025080183
2028-11-30,87.53231567505267,28.5401761313696,16.095278419851734
2028-12-31,74.21968024006227,24.983494934045563,16.037402584320944
2029-01-31,53.40760126216871,18.761802471317207,16.265207155874045
2029-02-28,49.908694175460106,12.524938109294247,16.755418581729955
2029-03-31,84.3545227630228,12.154077197815758,17.136761360207633
2029-04-30,132.77923945997256,22.945311931595818,16.803561380054834
2029-05-31,128.27044774738624,34.18852500695174,15.941848551808476
2029-06-30,104.45584738680486,36.04965443183015,15.244890509422683
2029-07-31,101.11652471308852,35.64501739044664,14.873434975820809
2029-08-31,103.68409976912359,35.27129620287163,15.008342830282961
2029-09-30,96.13017183610116,32.878931429381026,15.61062953764787
