# Evaluation Metrics for Kisii
# Rainfall RMSE: 59.1703, MAE: 46.7683, R²: 0.3724
# Soil Moisture RMSE: 9.6427, MAE: 7.9552, R²: 0.6963
# Temperature RMSE: 0.2261, MAE: 0.1826, R²: 0.9313
Date,Kisii_rain_forecast,Kisii_soil_forecast,Kisii_temp_forecast
2024-10-31,147.40909534177658,53.011255790232326,20.915533887422868
2024-11-30,156.43715907321823,52.81209711289284,21.211544430645958
2024-12-31,141.89109606249028,53.58062148798899,21.065729340702784
2025-01-31,106.62765703998365,50.634154388654,20.979150562211306
2025-02-28,75.6521997359427,41.5067355541529,21.39306451932164
2025-03-31,93.75318327502097,32.51569874291931,22.131688234466868
2025-04-30,190.95208894570553,38.93592848837204,22.269762671870875
2025-05-31,269.65401537348976,60.8794538014231,21.25416768470982
2025-06-30,238.4277551911009,72.31891670449568,20.177095665137095
2025-07-31,164.8537955512642,66.86361000341162,19.53867334866842
2025-08-31,120.4491957331956,56.610440315538426,19.509709977272745
2025-09-30,124.2539892626957,49.88854503851712,20.187741534705953
2025-10-31,151.48402119692966,47.80440908705634,21.065122650655248
2025-11-30,167.73319929004245,49.8344117710526,21.389812083699358
2025-12-31,154.1065148638912,53.410119477040325,21.10970409737975
2026-01-31,112.66528369598574,51.87124618370012,20.866903396566254
2026-02-28,70.01642401050691,41.87549685605882,21.208012908859878
2026-03-31,73.8370314515825,29.626333659221704,22.03916166431698
2026-04-30,163.97335182485327,31.317370758651126,22.41542182761055
2026-05-31,259.96366310552,52.33929304190451,21.490105641457117
2026-06-30,242.70079888231965,66.49845913222634,20.408754938138646
2026-07-31,172.801749924635,63.39260221128416,19.72452302918169
2026-08-31,122.79427403632029,53.39465209289665,19.59071842431776
2026-09-30,118.35570020542364,46.025324895548806,20.129153218928234
2026-10-31,141.37883571286656,43.2149254208033,20.953138726423116
2026-11-30,159.91543972282162,44.59018770372802,21.382938084396326
2026-12-31,153.28273965369502,48.23599858380112,21.2226425312598
2027-01-31,118.84680734859244,48.233101992701904,20.983205070050616
2027-02-28,78.45934901682443,40.48242981521196,21.226920176901178
2027-03-31,74.88464910058929,29.426582263062986,21.956372950236307
2027-04-30,148.5815685020539,29.039091046469256,22.39467176040468
2027-05-31,241.33319549142607,46.832218794556184,21.65102012334531
2027-06-30,239.5155075398194,61.611373923874,20.576133641289836
2027-07-31,177.34309018394143,60.51951885584708,19.858702881456143
2027-08-31,126.55640120044676,51.52558287647594,19.667823571620236
2027-09-30,117.16256577372523,44.03683829928241,20.12072463101546
2027-10-31,136.4190747112444,40.796398127837165,20.901932206895637
2027-11-30,154.9093288422798,41.616775091462955,21.376290501119684
2027-12-31,151.70113252466754,44.94092262241418,21.292651197102046
2028-01-31,122.17657161163935,45.6083858617925,21.060452055192016
2028-02-29,83.82451247998887,39.24479684211349,21.226099965176246
2028-03-31,74.27562752949322,28.910032966176804,21.869826298343167
2028-04-30,134.27253418872644,26.638997308781317,22.374995639486134
2028-05-31,227.4667707259805,42.02758850507439,21.787957891103336
2028-06-30,237.91131939289733,57.50528595620517,20.73130172376703
2028-07-31,182.40574959654342,58.25460624155812,19.98209158418728
2028-08-31,130.25665253604907,50.0953420575097,19.7268105194753
2028-09-30,115.90106437073915,42.46787808327019,20.092576977445542
2028-10-31,132.00903311231022,38.84532755129453,20.8390003531677
2028-11-30,150.93774533947854,39.25235014150121,21.361353818375093
2028-12-31,150.81452161271048,42.40846188719945,21.345130323310652
2029-01-31,125.0952821594626,43.67617920593159,21.120614465014185
2029-02-28,88.15205897343193,38.41882770528014,21.231300103141347
2029-03-31,74.74341575221666,28.698489042553664,21.815047169951455
2029-04-30,125.00161052997105,25.26809279769714,22.346570812049936
2029-05-31,215.80527077267834,38.610149609014,21.88247237648104
2029-06-30,235.64366686473215,54.32553503777285,20.852597225632596
2029-07-31,186.12659021307408,56.49421588620157,20.080950427071276
2029-08-31,133.5309361260117,49.09380702938074,19.77797753639972
2029-09-30,115.44150106181313,41.40860193399442,20.075620580697237
