# Evaluation Metrics for Uasin Gishu
# Rainfall RMSE: 55.1523, MAE: 40.2671, R²: 0.4309
# Soil Moisture RMSE: 9.3555, MAE: 7.4257, R²: 0.7282
# Temperature RMSE: 0.1877, MAE: 0.1365, R²: 0.9611
Date,Uasin Gishu_rain_forecast,Uasin Gishu_soil_forecast,Uasin Gishu_temp_forecast
2024-10-31,116.9612718904227,52.839453490036064,18.844355757072876
2024-11-30,99.86664683524393,40.413313390604245,18.884035691456695
2024-12-31,97.41052336761638,36.01147808157318,18.40378745632864
2025-01-31,72.38445793480422,29.508499749849513,18.286315195586248
2025-02-28,38.569016375108724,19.633746504013583,18.790733080975063
2025-03-31,27.046016782428516,9.164238411794713,19.837102579550166
2025-04-30,83.8294494386946,7.614891499069174,20.87119875804307
2025-05-31,156.3103129700357,22.86293147077515,20.38341599657108
2025-06-30,145.4077823504576,35.50513417341736,19.161621265095206
2025-07-31,133.5386011142236,34.93088980031893,18.222208644815485
2025-08-31,157.9352184460549,36.52809169708866,17.65568764947224
2025-09-30,165.9791073330052,40.909058302186466,17.804034034740454
2025-10-31,124.36303565967134,37.61168988756406,18.628604864317573
2025-11-30,95.53166895067986,30.87164390238159,18.929777378294254
2025-12-31,96.24488138454578,29.062045317478493,18.480664218264344
2026-01-31,77.3356859303385,25.751597946890023,18.308145546871
2026-02-28,48.05357006638131,18.744749234973035,18.725154859699188
2026-03-31,35.30186518464688,10.37462259678081,19.705647732632418
2026-04-30,83.87964674745034,8.821771841013222,20.792491848048364
2026-05-31,162.37876307816802,23.833231018508346,20.434245024235043
2026-06-30,149.46491802890702,37.01604686070369,19.230924882209035
2026-07-31,133.5005904943864,36.21580718396509,18.26553661548305
2026-08-31,154.98380260717565,36.956553561004405,17.68601057184953
2026-09-30,167.228442142823,41.36868944825894,17.76550284682722
2026-10-31,122.61365842801749,37.892012766359876,18.629190761797076
2026-11-30,93.43254498374333,30.63104153501693,18.931086115601993
2026-12-31,95.12555494846308,28.713230282183773,18.477629173693824
2027-01-31,77.83071270736399,25.605805147419396,18.26764702335334
2027-02-28,47.727119009286966,18.663862426655783,18.667131638690474
2027-03-31,32.92896464628938,10.191958409351178,19.616083023019694
2027-04-30,74.86294750082833,7.763197701368054,20.683780464871386
2027-05-31,154.75653567083097,21.347882087738743,20.486688672071637
2027-06-30,149.70351358051627,35.31383257555184,19.29204604073805
2027-07-31,132.46383321717073,35.58677731789788,18.320624096578786
2027-08-31,153.13786144396542,36.26734094594624,17.69104740215876
2027-09-30,166.3718701177731,40.799996685501725,17.722601027998692
2027-10-31,126.62071937966172,38.21562174135651,18.534029928235974
2027-11-30,93.53048796224354,30.95541199132079,18.927143843295898
2027-12-31,94.63789330363394,28.74046352920516,18.50552090963729
2028-01-31,78.98582796542995,25.877998698746136,18.265633713370423
2028-02-29,49.26144153142103,19.159926337164006,18.62713343900915
2028-03-31,32.97502992179488,10.724659603767874,19.539787132031442
2028-04-30,70.21354691306895,7.663538835284404,20.609577572788776
2028-05-31,150.73539822519703,20.273716232442254,20.514544241504023
2028-06-30,150.27229383113078,34.639263040225934,19.334065151499534
2028-07-31,132.09852878932904,35.519833849733274,18.351760520258697
2028-08-31,151.2872008756585,35.97870351449851,17.706124791533934
2028-09-30,165.96710451701253,40.510458853859646,17.697855042929156
2028-10-31,128.38464300278244,38.37563571875404,18.48441413377083
2028-11-30,93.55794631916976,31.083011561721396,18.917733317112802
2028-12-31,93.96535764703,28.626889621260688,18.522683329025828
2029-01-31,79.61750807942734,25.923697867467837,18.262091356858036
2029-02-28,50.463148145863656,19.415628415788063,18.592127198643645
2029-03-31,33.13306359397756,11.063485342049175,19.476292224392136
2029-04-30,66.74663821900138,7.567684160021921,20.547964549709068
2029-05-31,147.08736959159066,19.34517081429347,20.53968842599047
2029-06-30,151.19829831601234,34.068028576348645,19.381947650596363
2029-07-31,132.06937471542003,35.54471062081742,18.39071945378942
2029-08-31,149.58733653686974,35.74621503917102,17.72880082618625
2029-09-30,165.91735667540885,40.2654007918189,17.676914755612007
