# Evaluation Metrics for Bomet
# Rainfall RMSE: 62.3738, MAE: 47.8007, R²: 0.3291
# Soil Moisture RMSE: 8.5867, MAE: 6.6215, R²: 0.7027
# Temperature RMSE: 0.2208, MAE: 0.1725, R²: 0.9550
Date,Bomet_rain_forecast,Bomet_soil_forecast,Bomet_temp_forecast
2024-10-31,127.3548987405994,32.3466119181463,18.120632703429898
2024-11-30,124.67887282480926,26.770603236500865,18.470017014939014
2024-12-31,109.48932249635394,21.33107143852091,18.508649955841445
2025-01-31,87.19022139326579,15.828904351951081,18.545852624149042
2025-02-28,66.06061803817158,9.70409062607806,18.899886112805994
2025-03-31,75.69549808621197,5.045898636152373,19.706679147113654
2025-04-30,164.3275728956301,12.972853435184092,20.12980953086574
2025-05-31,242.68589416335746,35.30959683375216,19.0766699965835
2025-06-30,202.20049413374343,46.99323441601021,17.684637656745245
2025-07-31,134.4525243380062,41.22235469064404,16.7816022185891
2025-08-31,108.73632943921098,32.300726967819394,16.67773265789367
2025-09-30,115.1046393381257,26.461799551009594,17.370081517585646
2025-10-31,128.49482573964994,22.79524465339158,18.219617305018666
2025-11-30,132.38716206722546,20.15848083015219,18.635091409139264
2025-12-31,120.925060001742,18.1096208611621,18.603959426350784
2026-01-31,99.69962850586359,15.571768365425186,18.528692517869526
2026-02-28,76.17421783368353,11.577546688281089,18.722925970754677
2026-03-31,70.71602154504374,7.051167121482351,19.352773713500934
2026-04-30,123.75320689201085,9.10955289718505,19.986873565377643
2026-05-31,214.5434446864738,26.05805794670609,19.426503474550056
2026-06-30,212.3363642553902,41.02338084030828,18.174250275563768
2026-07-31,152.57754815176443,40.37082264364278,17.17445114484532
2026-08-31,114.9797133035879,32.57330369636953,16.79866467072485
2026-09-30,112.58147251223252,26.429421066831328,17.246861829386024
2026-10-31,122.13019488477303,22.529102125101222,18.001881369404533
2026-11-30,125.66446450312635,19.76396886748346,18.47003162197828
2026-12-31,117.43327815215135,17.51149233985643,18.58369532422716
2027-01-31,98.47852034385961,14.923063103519965,18.5949325195348
2027-02-28,76.8965099026489,11.073314209393303,18.82034786259259
2027-03-31,72.0261764124268,6.783490781583602,19.418290179821213
2027-04-30,121.58762238709666,8.561942552762979,20.01783269820147
2027-05-31,208.02687738597274,24.204990423901126,19.50492745111809
2027-06-30,213.093993600004,39.38009858755436,18.263339581852165
2027-07-31,156.41001639908833,39.71320007992122,17.25557596297371
2027-08-31,117.46791191154176,32.37282615290787,16.84888671485592
2027-09-30,111.58386339226215,26.13444064930454,17.200103296853012
2027-10-31,119.745182505679,22.154767314703438,17.915291327534618
2027-11-30,124.29812059952947,19.40724332984934,18.430503756470127
2027-12-31,117.60479772246579,17.224864781474096,18.590696965048856
2028-01-31,100.10524022776877,14.806116382501529,18.61697770664631
2028-02-29,79.18376235451255,11.239723287159087,18.81615564232313
2028-03-31,72.00298344201917,7.0715974921061004,19.35335799507159
2028-04-30,111.45891429161753,7.578613141876019,19.96513439573877
2028-05-31,197.77522694114236,21.358686740468034,19.65387835192543
2028-06-30,218.0281798404309,37.85469338227807,18.438673473531825
2028-07-31,164.1572412298169,40.12133898266856,17.36326903792245
2028-08-31,119.97404441754827,33.025005079793836,16.847945291175197
2028-09-30,110.37282358588516,26.41163777616882,17.104246062371182
2028-10-31,118.43543129516529,22.259414539871617,17.82567008156627
2028-11-30,124.7784030757381,19.490620213382048,18.406352721197713
2028-12-31,120.06012712820097,17.37751640573714,18.606875234839013
2029-01-31,103.63667848150992,15.16462895009684,18.61952249633717
2029-02-28,81.91072976721493,11.830332227335916,18.77398828481954
2029-03-31,70.8532821802036,7.523360785744419,19.28236145451987
2029-04-30,103.61846779017543,6.902348352991254,19.94906713944704
2029-05-31,190.6479613964717,19.340485155656115,19.77756077895648
2029-06-30,222.46865913047986,36.8525309958388,18.590658743296107
2029-07-31,171.54156700194446,40.8380160820615,17.462803046775623
2029-08-31,123.04559640003649,34.021846534326194,16.861613402130086
2029-09-30,109.9585217082355,27.026079359991645,17.031923263516735
