# Evaluation Metrics for Kericho
# Rainfall RMSE: 57.7750, MAE: 44.1130, R²: 0.3581
# Soil Moisture RMSE: 8.2782, MAE: 6.5183, R²: 0.7657
# Temperature RMSE: 0.1670, MAE: 0.1275, R²: 0.9621
Date,Kericho_rain_forecast,Kericho_soil_forecast,Kericho_temp_forecast
2024-10-31,140.04553131663943,52.757910131352205,18.213567926988514
2024-11-30,132.04970788755895,43.709333873946896,18.434426362124423
2024-12-31,117.7531758674278,37.35428204845663,18.05514517717297
2025-01-31,76.80188492185707,26.538438979870868,17.951972058087986
2025-02-28,48.713628192406404,15.264970132751323,18.398133821687484
2025-03-31,60.48272405448005,7.598197351261047,19.291281102867707
2025-04-30,152.70670698631787,12.471676894471996,19.799032473530126
2025-05-31,227.21641514773734,34.41666037024076,18.776439116849318
2025-06-30,148.46581958792825,45.57870644409764,17.815914925757916
2025-07-31,118.57421976355718,38.94048181910218,17.01388695379326
2025-08-31,153.6672701788072,39.242466317182455,16.692634963904922
2025-09-30,152.44280284329622,41.24839604189314,17.400828436557152
2025-10-31,122.37287628289123,35.9518806983305,18.41656682302001
2025-11-30,132.194795306084,34.16392599347719,18.434395179008416
2025-12-31,119.22614183149149,31.565909841558558,18.027858651369236
2026-01-31,81.67265343401226,23.75826607814337,17.995747483306133
2026-02-28,56.863964187977,15.17616238032318,18.42715691632286
2026-03-31,63.673495236755485,8.867622189365484,19.18207948425685
2026-04-30,131.36821717088583,11.396407452856032,19.680377882289946
2026-05-31,210.21548120455108,28.65343912717239,18.925905934005847
2026-06-30,163.28576638594404,41.36200060263694,17.98272227212591
2026-07-31,121.47155203716851,38.65519593117878,17.230356837822463
2026-08-31,139.9645958938502,37.63359822470528,16.84749798089838
2026-09-30,146.23138750546516,39.159935053279014,17.395673418633105
2026-10-31,119.06062290587383,34.36904718176822,18.381734928085184
2026-11-30,123.84118896839098,31.89759839308713,18.46723289005094
2026-12-31,115.35131611158661,29.474378715511705,18.108603196147413
2027-01-31,81.66044987214738,22.304918450526287,18.074100968170086
2027-02-28,57.5269490868661,14.295252063451258,18.49723931590135
2027-03-31,63.06794783334429,8.28677161234537,19.25916981668674
2027-04-30,129.62505610224682,10.606128966979538,19.767659896468537
2027-05-31,207.18127251609428,27.136078186509618,18.98739525900251
2027-06-30,165.292662182123,39.786297575019496,18.030489963018162
2027-07-31,125.99512610831724,38.17961363895665,17.292410766207457
2027-08-31,143.35202456727916,38.03701333579263,16.93263789808989
2027-09-30,145.1753643362225,39.67665623952643,17.481006960532635
2027-10-31,117.8789725097703,34.8466075332159,18.41566959972759
2027-11-30,120.62926343963436,31.67108573796158,18.533712222316108
2027-12-31,113.79930088376325,29.02867577779499,18.1868148214571
2028-01-31,81.30579550276353,21.87917851292193,18.151263234378952
2028-02-29,57.35354104698409,13.922033743918691,18.578159147589208
2028-03-31,62.87073127110117,7.932290369991949,19.339575481314053
2028-04-30,128.64408399139577,10.137728095766148,19.827236657016694
2028-05-31,207.0064357389833,26.433888481833772,19.042747888510185
2028-06-30,167.8763951047483,39.12271674370678,18.081678465360095
2028-07-31,129.16167087671005,38.07178927523126,17.351742786542093
2028-08-31,144.65990079161213,38.26596362318537,17.00381829179957
2028-09-30,145.41798989474304,40.03459730882469,17.544325104412465
2028-10-31,118.45756026286084,35.26000059095962,18.471137276034476
2028-11-30,121.04818274840848,31.963603978957604,18.587175438476553
2028-12-31,114.03720539752719,29.17905802653503,18.24430597488648
2029-01-31,81.69143031656698,21.993510336159442,18.213419807187474
2029-02-28,57.43684263933435,13.97478159511149,18.64690539789389
2029-03-31,62.45212820455955,7.838736459889058,19.418822882170243
2029-04-30,128.81395124771032,9.87592544269664,19.91037013558755
2029-05-31,208.97834159100918,26.23780714265023,19.096118500265515
2029-06-30,170.26255569261895,39.03162178626992,18.125251318442057
2029-07-31,131.53899927080155,38.20227248505546,17.396952221684103
2029-08-31,146.65180896484367,38.67184716267157,17.054271421851773
2029-09-30,146.73963395055523,40.62064058742855,17.601521671889856
