# Evaluation Metrics for Narok
# Rainfall RMSE: 62.0257, MAE: 43.2202, R²: 0.2899
# Soil Moisture RMSE: 12.7074, MAE: 8.4699, R²: 0.6217
# Temperature RMSE: 0.1787, MAE: 0.1433, R²: 0.9759
Date,Narok_rain_forecast,Narok_soil_forecast,Narok_temp_forecast
2024-10-31,60.31779321636902,16.7819816459109,18.880044043834012
2024-11-30,69.23797410263299,12.55026840539628,19.600994071026374
2024-12-31,85.09739143211411,14.859064525349082,19.533247102498983
2025-01-31,86.16243096866863,21.027748841693974,19.382767364576676
2025-02-28,69.18095591029545,23.606402917459064,19.787274835367214
2025-03-31,76.6609567865212,22.335481525441462,20.575170168521527
2025-04-30,149.60713705034382,32.65771692452511,20.767496329381885
2025-05-31,188.16399460768577,52.225278728647915,19.5513524389381
2025-06-30,121.48427956243732,48.596119331191325,18.089047453636848
2025-07-31,66.05926583163222,31.36454301492905,17.173212660465424
2025-08-31,49.80571403259376,19.17486743358129,16.98306990875352
2025-09-30,52.5242219038368,12.858321792933383,17.680348884731718
2025-10-31,58.31119651108028,8.852519430786902,18.878366048968708
2025-11-30,68.55587538104449,7.309488008742222,19.641077717838158
2025-12-31,85.87604982391724,11.674252022572063,19.56955733502312
2026-01-31,87.40454154815546,19.40128819167334,19.383314942629138
2026-02-28,67.88592807749514,22.7079695397261,19.7564616435004
2026-03-31,69.29727644559868,20.64570342930906,20.528251389040705
2026-04-30,138.32460464409684,28.893326796521805,20.79169269384489
2026-05-31,181.60261065541283,48.1224094374237,19.47848618601401
2026-06-30,119.0335373374545,45.73274107937589,18.04641375761343
2026-07-31,64.94196729842938,29.616298288718298,17.137048137631382
2026-08-31,49.484043748022295,18.188221067981306,16.96950280043136
2026-09-30,52.88368599483935,12.339254112311782,17.71349719105378
2026-10-31,59.095298685504424,8.620778463664978,18.93513760361506
2026-11-30,70.11839239230565,7.49945299917987,19.672718499261528
2026-12-31,87.76470009993977,12.411620342010155,19.57039192486728
2027-01-31,88.48075828288468,20.402932359375615,19.38695198094349
2027-02-28,68.27372682665018,23.602807189976808,19.753152063083895
2027-03-31,69.15205844269424,21.214450854940647,20.50887900054554
2027-04-30,135.74214526041234,28.773809977069263,20.745435571177456
2027-05-31,179.39068394855582,47.41330464938117,19.486750155163687
2027-06-30,117.13592818821894,44.87219062644018,18.010685845309858
2027-07-31,64.60606550475681,29.122018606982135,17.1220262982462
2027-08-31,49.75834917425104,18.007637611421544,16.979147446675675
2027-09-30,53.20897010850263,12.30224291736508,17.737030343083926
2027-10-31,59.36048396563716,8.635556119186719,18.960182299227522
2027-11-30,70.57376118814099,7.644621956107009,19.675642286050163
2027-12-31,88.04876418122974,12.691813800216032,19.562667496402813
2028-01-31,88.03243941593338,20.62516147596565,19.392147231424172
2028-02-29,67.83865866636887,23.617946695625193,19.773314446998498
2028-03-31,70.20586812054087,21.268260246151232,20.52768955114313
2028-04-30,138.14931089416052,29.348956836059493,20.725762170315384
2028-05-31,178.15208187709436,47.65107307805322,19.428238899413167
2028-06-30,114.77322120963673,44.345311537839876,17.9729379611281
2028-07-31,63.695314747952835,28.643298480691726,17.106009996707865
2028-08-31,49.72743744125438,17.763462158129443,16.99105305618063
2028-09-30,53.400065309686504,12.171937650255527,17.77322027436926
2028-10-31,59.558066286256334,8.551530977191014,18.99304035288399
2028-11-30,71.05138564182592,7.7125011177139555,19.68003924447425
2028-12-31,88.38041363684528,12.924819977570982,19.55226584683527
2029-01-31,87.5478637718642,20.80659262338154,19.39440391673128
2029-02-28,67.3268180312281,23.572525648259568,19.79167697918953
2029-03-31,71.20643141674144,21.251959277508927,20.544870331078897
2029-04-30,140.3932815354783,29.83877285609354,20.705869167838525
2029-05-31,177.1716743999815,47.86936739081855,19.382105189223466
2029-06-30,112.67820088651493,43.87880322071863,17.937452595826457
2029-07-31,62.854108807824694,28.20842294981659,17.090243210050318
2029-08-31,49.690568485437886,17.534612196389983,17.001714753469113
2029-09-30,53.579785835696136,12.044250103118106,17.807488237802854
