# Evaluation Metrics for Nyandarua
# Rainfall RMSE: 83.3288, MAE: 59.3675, R²: 0.3126
# Soil Moisture RMSE: 10.5454, MAE: 8.8649, R²: 0.6892
# Temperature RMSE: 0.1499, MAE: 0.1169, R²: 0.9725
Date,Nyandarua_rain_forecast,Nyandarua_soil_forecast,Nyandarua_temp_forecast
2024-10-31,92.61553712042308,43.50313257133655,16.213549812879904
2024-11-30,87.13870991977315,31.50260792779336,16.72358252033499
2024-12-31,99.62030896707994,27.372479126749067,16.34645340413879
2025-01-31,68.75006003496173,23.290966235275352,16.21735152243414
2025-02-28,46.271830343918005,17.808996309651647,16.72692604905504
2025-03-31,77.39435222645191,13.81827642135394,17.61793636833165
2025-04-30,186.38724161625584,22.872016475616498,18.038319269306328
2025-05-31,216.13599232213244,46.91169106107088,17.089700032089826
2025-06-30,99.95863587515272,49.01758527885884,16.05945734365601
2025-07-31,75.02506699903957,39.89288022912892,15.26607159113866
2025-08-31,97.43164197880024,36.680877201467375,14.89579713076192
2025-09-30,91.67900459808475,33.03611989661458,15.39443414122911
2025-10-31,62.456906328338164,24.40025836537243,16.36887299156549
2025-11-30,77.39698285800102,19.77594379125689,16.58301147385972
2025-12-31,87.72466694433464,20.09160785190645,16.208590861646712
2026-01-31,61.073424890664505,18.141858403425854,16.247963264039008
2026-02-28,50.44673491520254,14.795050501336172,16.829575930048872
2026-03-31,91.50989652576517,13.733280251902324,17.628354149562956
2026-04-30,185.19177187691074,25.21212404865401,17.78537068617984
2026-05-31,173.59436039925825,43.99893026431412,16.778370747001844
2026-06-30,84.62874590134379,42.15936877360901,15.836557580069432
2026-07-31,76.79152223883163,35.44154251490578,15.104360376334732
2026-08-31,94.66780817045344,33.14149868565149,14.890835201105103
2026-09-30,79.1749298040339,28.59004719650808,15.54723710814999
2026-10-31,57.143381350027504,20.502775317972013,16.42131422041653
2026-11-30,80.36891346731092,18.370502847640058,16.422023457542025
2026-12-31,79.79378356838835,18.611818527127294,16.107210409621686
2027-01-31,53.45470979187819,16.375132140475333,16.285132377555357
2027-02-28,51.19339122141262,13.134407055284235,16.953729036801043
2027-03-31,105.58546445581824,13.86772424873949,17.682580819275678
2027-04-30,190.98613938125249,28.31065956429233,17.553328899480963
2027-05-31,147.91542745699422,43.4747080795399,16.47952664144326
2027-06-30,75.73568826817004,39.08621624810592,15.585875080916969
2027-07-31,79.14076851504014,33.76848867843603,14.93480784083536
2027-08-31,91.33356113940017,31.552933257531684,14.9152512941426
2027-09-30,68.42103725531523,25.751034584499195,15.721784273915551
2027-10-31,56.93532147020896,18.43588880217477,16.447594217163058
2027-11-30,82.97511244900669,17.93208089291488,16.273783838941515
2027-12-31,71.92133713397665,17.615502609034866,16.04417567254552
2028-01-31,48.25204055007526,15.059462346645343,16.357268432620955
2028-02-29,57.165243282743454,12.157772261389743,17.09539179963554
2028-03-31,125.93298412523772,15.440912492772584,17.707091260086518
2028-04-30,194.0175314938582,32.65489134199057,17.27474030838418
2028-05-31,123.70481151229082,43.18468912011796,16.19284232263314
2028-06-30,70.82940351423247,36.987147048617324,15.340167479974186
2028-07-31,82.46777900176183,32.83881735461664,14.792859025231964
2028-08-31,86.77548892998834,30.188577911087243,14.991471760804759
2028-09-30,59.172198242983235,23.11073763516025,15.904261492580359
2028-10-31,60.44185179201299,17.102657565154846,16.42317548697964
2028-11-30,83.1985776763882,17.57006368850196,16.125520020649056
2028-12-31,63.702413448833006,16.568039573286438,16.012427041823123
2029-01-31,45.22338521730922,13.752306731487872,16.458889516454615
2029-02-28,67.80234963611124,11.605310455444432,17.237994751527385
2029-03-31,148.6319838001109,18.19821102205192,17.66823201526446
2029-04-30,187.7543946777528,36.92392889210274,16.95453730651204
2029-05-31,101.59086429393768,42.09672042381701,15.91219688182193
2029-06-30,69.50809728397897,35.291343995307834,15.103594549160379
2029-07-31,85.34655756337514,32.11481840043132,14.696180914629762
2029-08-31,79.82624648473288,28.551566249176467,15.12302786357569
2029-09-30,52.35091525444771,20.57722246563292,16.0649115819177
