# Evaluation Metrics for Machakos
# Rainfall RMSE: 91.2339, MAE: 52.1995, R²: 0.3966
# Soil Moisture RMSE: 11.3825, MAE: 7.5117, R²: 0.7021
# Temperature RMSE: 0.1473, MAE: 0.1061, R²: 0.9790
Date,Machakos_rain_forecast,Machakos_soil_forecast,Machakos_temp_forecast
2024-10-31,2.862376645025847,5.7095926753108435,21.004884808370406
2024-11-30,52.3046756084359,6.615086718880575,21.75570549818619
2024-12-31,165.54197593685058,26.96061919888377,20.993192244246725
2025-01-31,123.50021122958151,38.59610607474175,20.591625813923297
2025-02-28,58.119989755994084,31.391799378094884,21.23022810476682
2025-03-31,55.0281419333005,21.559137819058545,22.134228869957365
2025-04-30,131.37072174865625,26.446752295731812,22.44240256800436
2025-05-31,175.41834753058902,42.742288085009825,21.602247473984352
2025-06-30,69.48700419178067,32.37576259748318,20.35103262121189
2025-07-31,19.257609563940264,16.303571693281523,19.55069947580492
2025-08-31,15.104965685014918,9.507738613628785,19.348909108940333
2025-09-30,14.343854251223547,6.9327279904972245,19.893545638848824
2025-10-31,7.390002880409611,4.380194739260225,20.944933723141272
2025-11-30,31.302725373705925,4.13546056354899,21.48425461933031
2025-12-31,86.93715149293348,12.556899345505261,20.973623546032954
2026-01-31,69.1211045860291,17.077511626199634,20.70518277041528
2026-02-28,43.03653679357785,13.864418636929477,21.282447259059715
2026-03-31,68.02008290500135,12.98122377657261,22.067654346738003
2026-04-30,137.70779217097606,24.688053943189182,22.24498294644559
2026-05-31,136.42348481118188,35.52052953568704,21.440295773941962
2026-06-30,55.825531809188305,25.65884715732738,20.308075354790027
2026-07-31,24.337533704691168,14.197576951282738,19.57164787346875
2026-08-31,21.087083235286173,8.997534551698697,19.39479137397191
2026-09-30,19.61311111874147,6.982276411905136,19.95398437291121
2026-10-31,17.172727917142424,5.001425974640485,20.98610977789653
2026-11-30,58.38374719585727,7.9529639096239695,21.44309672756771
2026-12-31,121.63622823342575,21.218784139357112,20.909578632336867
2027-01-31,88.794273390743,26.865971754045212,20.71577317112069
2027-02-28,50.94033235702136,21.399470122129028,21.277789827426567
2027-03-31,64.62708516924522,16.747014174175277,21.993990202050128
2027-04-30,129.10396458904506,24.64801202092636,22.115902960756554
2027-05-31,136.83384823140295,34.96133621907033,21.29434897279585
2027-06-30,60.80814039751749,26.244258145946404,20.248045288062503
2027-07-31,26.73522349107634,15.0178392926103,19.598598314616325
2027-08-31,21.912955899487997,9.642858160122172,19.504595746101472
2027-09-30,20.01942095283198,7.324755058124103,20.08168218237846
2027-10-31,20.416300622603558,5.550433946425495,21.007075375364014
2027-11-30,59.17859364515334,8.719352099830518,21.343650489994996
2027-12-31,106.26607571305885,19.347358839615225,20.887451153732826
2028-01-31,78.97649291038579,23.27193795863546,20.78077714586863
2028-02-29,52.37971182076808,18.989058634181223,21.32630923515387
2028-03-31,72.84422473533823,16.82895437242963,21.954408087499264
2028-04-30,130.23310241523905,25.692266843509273,21.977305016519654
2028-05-31,123.06168551330848,33.07511328015002,21.160996831075558
2028-06-30,56.68728678705065,24.18718949473588,20.20478516749787
2028-07-31,28.46077946940204,14.417537581173159,19.621534321590623
2028-08-31,24.072589161489304,9.689489074308888,19.58230005586889
2028-09-30,21.902618101082908,7.552097885525219,20.17424051777994
2028-10-31,24.784040960258608,6.139909365683349,21.032068203658696
2028-11-30,65.17146563377037,10.076459705651084,21.282314063780202
2028-12-31,104.16700010495879,20.091674239318298,20.865848750734788
2029-01-31,76.31537130427569,23.053311084325195,20.82618462752009
2029-02-28,54.47551071598082,18.912894940652883,21.3638229701163
2029-03-31,77.48764995288138,17.580626039200915,21.925103474825704
2029-04-30,129.32800149991726,26.328030762136407,21.872469874063917
2029-05-31,115.18891872870881,31.902637073658017,21.05783873827548
2029-06-30,54.66051936114809,23.07921227195256,20.160157731341812
2029-07-31,29.54380743286856,14.132096600058444,19.636789721842792
2029-08-31,25.26484088786674,9.758789179176246,19.65318471228598
2029-09-30,23.0060345002928,7.687198150407527,20.26239130029578
