# Evaluation Metrics for Laikipia
# Rainfall RMSE: 61.6803, MAE: 44.3310, R²: 0.3470
# Soil Moisture RMSE: 10.3093, MAE: 7.5870, R²: 0.6859
# Temperature RMSE: 0.1111, MAE: 0.0868, R²: 0.9768
Date,Laikipia_rain_forecast,Laikipia_soil_forecast,Laikipia_temp_forecast
2024-10-31,57.65539728386284,25.268979959537077,20.220972725125446
2024-11-30,88.92961313899286,21.587943764425326,20.498171370859964
2024-12-31,107.18188250342064,28.606634187578624,19.63024902358404
2025-01-31,51.66076657357644,24.64865908999973,19.179620622658966
2025-02-28,40.042406744783875,19.826193672206035,19.57219049015588
2025-03-31,49.442697352192226,16.694201596330057,20.545415531542712
2025-04-30,87.99549459232912,20.000639281910676,21.13941178564431
2025-05-31,119.70204383046803,29.455930005167,20.781671207121036
2025-06-30,82.19418767109164,27.717496540023955,20.08557935470077
2025-07-31,51.898100726310076,18.65276123589004,19.389121535110625
2025-08-31,60.79794336183477,15.211413275308814,18.98628696021665
2025-09-30,58.18665124584186,13.758307743373619,19.407505740107894
2025-10-31,45.988816359850716,9.404103233129769,20.32530986044971
2025-11-30,87.00195162269847,13.544503033740742,20.356301115177864
2025-12-31,95.05692298835493,22.183275053579944,19.545698221054987
2026-01-31,47.3280344665709,19.501467050098572,19.208813864769912
2026-02-28,40.412230364001516,16.410961662096334,19.629883532809856
2026-03-31,51.50660069107562,14.602423791029844,20.55769091459348
2026-04-30,90.7309969661801,19.225077284976308,21.061818170508406
2026-05-31,116.91785250233806,28.450487622094347,20.712955892642064
2026-06-30,80.89538563244423,26.648985094360263,20.06022710048859
2026-07-31,54.98588200465019,18.690568703553097,19.389901680694308
2026-08-31,63.48796224820581,16.013886833332986,19.043120108648257
2026-09-30,59.89294588041048,14.65412187939113,19.493950215508924
2026-10-31,51.5442443781003,10.956675417112677,20.35090240864846
2026-11-30,92.52490137083623,15.944355828962685,20.30696614908618
2026-12-31,93.40250380760517,23.552736751381474,19.524994540717067
2027-01-31,48.30743734449334,20.428676517479996,19.236406703196298
2027-02-28,42.17063438191872,17.151626619295502,19.66088450601011
2027-03-31,52.87601783559785,15.216969779000824,20.542218535339124
2027-04-30,90.33117346538165,19.56797013669049,20.990895047838773
2027-05-31,113.6316610482827,28.037490364456723,20.620579528654194
2027-06-30,78.61144311997668,26.086727198130415,19.98073190431224
2027-07-31,55.0342611603628,18.801402498639785,19.368789919807423
2027-08-31,62.09548091653779,16.21038733128424,19.109635904221587
2027-09-30,57.70027381904947,14.434649561533677,19.601547326547134
2027-10-31,55.06950232789313,11.446120255538881,20.362152778730334
2027-11-30,93.6088170079729,16.906390820518116,20.244456364879
2027-12-31,88.48118919779154,23.115084504022416,19.524485845398146
2028-01-31,48.95760653781326,20.023821817309678,19.2670799161611
2028-02-29,43.98792541712646,17.018966530345303,19.675034696663484
2028-03-31,54.19162802707615,15.283996461665764,20.49988639534779
2028-04-30,89.28636199422544,19.474421397331533,20.899001177406806
2028-05-31,109.70545104577104,27.186963457564943,20.53393782543706
2028-06-30,77.45110207324069,25.383951440664237,19.925563854100034
2028-07-31,56.339069497746095,18.94028316435022,19.371560351309235
2028-08-31,61.8320320091425,16.508699170039478,19.184637069285863
2028-09-30,57.610602940132594,14.613474222297821,19.683131517828798
2028-10-31,59.154341841229325,12.39154448094355,20.347010636969024
2028-11-30,93.48713571800363,17.868950685210166,20.18678256861094
2028-12-31,84.55179901815973,22.798817151153262,19.536986277773373
2029-01-31,50.2420946182101,19.834550776356924,19.306554444239158
2029-02-28,45.92436877441469,17.03835746393746,19.688893809549622
2029-03-31,55.607527601394395,15.491824513684618,20.446171256714194
2029-04-30,87.70210270513053,19.390800550342536,20.79913949376267
2029-05-31,105.39449651349787,26.255519247309998,20.45051617597497
2029-06-30,76.59639944070477,24.700967614758344,19.87919683316367
2029-07-31,57.58832273303233,19.08855918691244,19.38420141569246
2029-08-31,61.273218619595355,16.744074760817316,19.262054799132628
2029-09-30,57.690720642849556,14.791886391521512,19.750003657379043
