# Evaluation Metrics for Meru
# Rainfall RMSE: 92.2267, MAE: 53.9681, R²: 0.5417
# Soil Moisture RMSE: 7.3334, MAE: 4.6640, R²: 0.7839
# Temperature RMSE: 0.1180, MAE: 0.0909, R²: 0.9767
Date,Meru_rain_forecast,Meru_soil_forecast,Meru_temp_forecast
2024-10-31,0.5252826878295309,4.7828960863171535,22.609463137578953
2024-11-30,61.08317522713014,3.298193525242435,22.976935523973353
2024-12-31,157.22243767739928,15.31671341106553,21.77457499497235
2025-01-31,77.61306506592882,15.717580360033311,21.340157329228525
2025-02-28,28.232249513499028,8.046752236592258,21.827974622725407
2025-03-31,17.548600472404132,1.9980522097544564,22.92805838873793
2025-04-30,106.5879755458891,4.640510439442314,23.670546123917266
2025-05-31,223.36656290778228,24.99631910191538,22.960240871871186
2025-06-30,52.68598236203479,20.4518900589913,22.295627047264208
2025-07-31,-0.4383418322825037,7.030408476067314,21.516082034630625
2025-08-31,4.833604219819449,1.3582698333121634,21.095217406034116
2025-09-30,2.783368965069144,-0.10849214007865567,21.605182203105848
2025-10-31,-4.504310604665534,-1.35139421019831,22.755541619053165
2025-11-30,63.49171510790438,-0.28659858368894925,22.94105475376167
2025-12-31,130.40733208882375,10.197129324828971,21.769911184897804
2026-01-31,45.83974975340766,7.696630552125038,21.40218493396863
2026-02-28,8.942817792538108,0.9698523752199729,21.864960028848056
2026-03-31,5.517424577189786,-3.9043465107697606,22.98134370579947
2026-04-30,105.26730661154033,0.21505224086216615,23.715555435098803
2026-05-31,232.16704555721844,23.346292767945943,22.948987496870817
2026-06-30,55.710661247699136,20.681672026875265,22.25854904617447
2026-07-31,-1.7003751483223368,7.5933078525315745,21.466021447530107
2026-08-31,2.530700629064313,1.6931458326157416,21.051770745154332
2026-09-30,-1.281698673339406,-0.5162208099957134,21.608993037162133
2026-10-31,-6.400673449886426,-2.6758560613672873,22.831099112198817
2026-11-30,88.90705558738182,0.35872091679576035,22.96375330762281
2026-12-31,177.51792288301112,17.601437784377996,21.626603718045867
2027-01-31,64.30774901654422,15.735665081443399,21.337591456551195
2027-02-28,18.842543561579987,7.455794403393256,21.797039085148967
2027-03-31,5.744492453657017,0.32031827717049,22.911139965465296
2027-04-30,93.49597097814603,1.163607839531558,23.75480820536202
2027-05-31,256.4651394984794,25.74043518446367,22.959732922337434
2027-06-30,72.28312313185097,25.385050150401895,22.208431910004766
2027-07-31,-1.1760720137597218,9.694871227462436,21.42788312383508
2027-08-31,1.615475945932758,2.7560924065714607,20.982786695489338
2027-09-30,-3.1512668845343796,0.0013847420936198246,21.514515195508935
2027-10-31,-12.393522554241372,-2.532349515967682,22.77196686389394
2027-11-30,77.88394456288052,-0.557000620888482,22.991782245089446
2027-12-31,178.06226833778783,16.822848099801192,21.601430453457137
2028-01-31,64.63309277575809,15.484698481821692,21.27362773514207
2028-02-29,18.80585709049069,7.2562980370252665,21.73500475625054
2028-03-31,6.277207089166154,0.43769329838027177,22.863853259021752
2028-04-30,94.45568003674452,1.583046458934643,23.740474283992242
2028-05-31,256.90780952539353,26.16978996533283,22.968596685794253
2028-06-30,70.08361331450669,25.36775537736959,22.22260577436
2028-07-31,-2.6431043664429126,9.51983395626913,21.421402357995593
2028-08-31,1.3376900481384837,2.57928858146558,20.945095059836444
2028-09-30,-2.634450728733782,-0.05285365502184336,21.44787658187194
2028-10-31,-13.413077914961832,-2.358024790952239,22.710202934345837
2028-11-30,70.75635729076475,-0.9457668666716698,22.998214508803315
2028-12-31,177.18045027323387,16.018405443396006,21.614340065815284
2029-01-31,67.41681806708584,15.514910184941037,21.229777183834408
2029-02-28,18.939787611531415,7.279145382687214,21.686348967079304
2029-03-31,4.161146405189925,0.29916836493806115,22.82359605382981
2029-04-30,89.40444852264545,0.8881532383580371,23.743929619514162
2029-05-31,261.02037036369984,25.89507649818673,22.984963948548494
2029-06-30,73.80677971678097,26.11879242699549,22.22825439804882
2029-07-31,-4.207305101339216,9.738453443930904,21.41811711060965
2029-08-31,0.34889981403989623,2.6000841317745076,20.906754019302753
2029-09-30,-2.986074581353023,-0.13378020325865303,21.377172057090753
