# Evaluation Metrics for Nandi
# Rainfall RMSE: 47.6489, MAE: 36.2615, R²: 0.5305
# Soil Moisture RMSE: 9.2005, MAE: 7.7635, R²: 0.8388
# Temperature RMSE: 0.1489, MAE: 0.1113, R²: 0.9721
Date,Nandi_rain_forecast,Nandi_soil_forecast,Nandi_temp_forecast
2024-10-31,136.48359248963243,75.83196508810386,18.485770546126684
2024-11-30,119.58303310313204,67.17978416407686,18.70109822567505
2024-12-31,103.0329048729327,61.04646312848683,18.33539493500754
2025-01-31,67.9241781603123,47.46993244659432,18.274159500249223
2025-02-28,49.082436404285545,31.829104556835087,18.846568050700725
2025-03-31,66.60096192200581,22.026810775210464,19.831171823979552
2025-04-30,142.37390034312557,30.213073973357435,20.359194065427765
2025-05-31,193.93314632671536,53.606974251816375,19.50957399792106
2025-06-30,155.71337793774728,66.93745024657358,18.58282961166524
2025-07-31,141.93458873653435,66.53727477471716,17.87176963885455
2025-08-31,188.68672974256333,69.24952173312488,17.376674421107907
2025-09-30,183.869734656153,74.09007625954939,17.728638133246356
2025-10-31,123.40772394854866,66.8653422231979,18.58459240118461
2025-11-30,117.55838223120372,60.53674229354794,18.67271259423989
2025-12-31,100.26817263747216,55.621914534674595,18.301940381666057
2026-01-31,67.92311886438983,43.42880482263677,18.31481178546958
2026-02-28,52.51316957374365,29.79264340803763,18.870073448860087
2026-03-31,69.34430742462428,21.5793684065481,19.76473189542114
2026-04-30,136.53554317307135,29.052494571647966,20.26562934770635
2026-05-31,191.92058448123862,51.95339424078849,19.523179453732347
2026-06-30,157.6055816768494,65.83189777444045,18.637480818769056
2026-07-31,141.95814426481957,66.37252204796891,17.94239857331062
2026-08-31,182.59135023105773,68.88383651084791,17.446510478840523
2026-09-30,183.5199963095074,73.30522077672879,17.72396320976258
2026-10-31,123.4231464939221,66.36926329895982,18.57612530942768
2026-11-30,115.81752225929813,59.898213389555046,18.665398809980736
2026-12-31,99.18851413557422,54.719394154747185,18.328338926626692
2027-01-31,68.32240314211958,42.80234859953662,18.341398309260246
2027-02-28,52.6985513805339,29.312508296065513,18.90952652615092
2027-03-31,69.75046457495046,21.164262013791387,19.815116846673863
2027-04-30,138.36430964546162,28.995234086752472,20.286210012942593
2027-05-31,189.07608876892482,51.16073635052498,19.50569209903584
2027-06-30,156.95575634219858,64.45363831308339,18.62679216977541
2027-07-31,145.20598572595918,65.32873817911718,17.937898379047706
2027-08-31,185.10367885610322,68.39677929108132,17.47518399352482
2027-09-30,179.7906320563925,72.52664221314046,17.795169921818314
2027-10-31,122.54939302976709,65.52435607055725,18.60002642136077
2027-11-30,114.23176128373598,59.02262689824976,18.6736227950695
2027-12-31,97.35048007895239,53.449017875769975,18.35575094838838
2028-01-31,67.50102709198836,41.499365693519614,18.389611980811033
2028-02-29,53.00241869948513,28.246796217648406,18.97232151088802
2028-03-31,71.59930746626924,20.64707640186481,19.865306839391728
2028-04-30,139.92248876416124,29.023759075981385,20.27878408020586
2028-05-31,187.60227177667548,50.83843732520631,19.489275833280235
2028-06-30,156.53862468530133,63.65420594291674,18.6225403465343
2028-07-31,147.64133215349284,64.75906401719055,17.942743063148914
2028-08-31,186.63322184237768,68.25981341410522,17.507060335049605
2028-09-30,177.63671695976518,72.11439952809098,17.85414659396418
2028-10-31,121.85567970955162,64.94457213192288,18.63865731308287
2028-11-30,114.16067298865528,58.632167528724146,18.68369959603992
2028-12-31,96.29283083451446,52.76487742104916,18.37464666555909
2029-01-31,66.81760550940817,40.6551692660754,18.434420739406544
2029-02-28,53.29885086553986,27.532063983219754,19.035256089721685
2029-03-31,73.44388305173925,20.37615598351121,19.92343713360213
2029-04-30,142.8209232224035,29.45806119538855,20.288605826199845
2029-05-31,186.87199015551596,51.10002301328176,19.470665337606818
2029-06-30,155.62609396188054,63.28372008032101,18.615301564527027
2029-07-31,149.71124658957706,64.38488198961136,17.942414188921422
2029-08-31,188.55935317315743,68.26493664870509,17.532366999829954
2029-09-30,175.10601381777087,71.74149147453716,17.91898769691664
