# Evaluation Metrics for Kitui
# Rainfall RMSE: 67.7211, MAE: 39.2649, R²: 0.4884
# Soil Moisture RMSE: 11.3151, MAE: 7.0418, R²: 0.7435
# Temperature RMSE: 0.2052, MAE: 0.1551, R²: 0.9696
Date,Kitui_rain_forecast,Kitui_soil_forecast,Kitui_temp_forecast
2024-10-31,1.8325357374642408,11.107033536924735,24.63812342262065
2024-11-30,10.079386784958842,7.059193587348251,25.61001433468556
2024-12-31,109.86508147526183,24.98517633840946,25.37730758739255
2025-01-31,131.50030056895048,46.331064716304596,25.075922305939596
2025-02-28,32.287224966123176,35.0865695432059,25.952987670638088
2025-03-31,21.904877544951887,20.643205419889902,27.220642973930474
2025-04-30,106.66762825765181,28.158280857499683,27.641165616286607
2025-05-31,145.9511317454162,49.234066494593364,26.50148208506512
2025-06-30,52.44140869930925,42.324066595740696,25.18915468723544
2025-07-31,-0.451230470695009,23.258815746905494,24.208639400949544
2025-08-31,5.510295782777575,14.595353479878947,23.46986119428757
2025-09-30,10.92113771199547,11.74210550158596,23.53816141066767
2025-10-31,-4.583853683569032,7.477611908098522,24.608233583541423
2025-11-30,1.6759260366015951,3.154510099347627,25.68480108617399
2025-12-31,115.97185555114993,23.03378682989367,25.457179568378123
2026-01-31,145.7847594026971,48.06611512106177,25.090623857546205
2026-02-28,32.82297199563618,36.388050176750625,25.98492274633375
2026-03-31,15.929482926105266,20.3036692235468,27.294602880464627
2026-04-30,100.01805609872099,25.48450773047134,27.80963860142898
2026-05-31,152.2587204171141,47.723863174778586,26.693509952566057
2026-06-30,58.16549312725692,42.753333985568574,25.286282215888576
2026-07-31,-1.5255793194755825,23.040875347825843,24.185112602348813
2026-08-31,3.3720952118155765,13.907129361827689,23.360747148268555
2026-09-30,9.440146697741511,11.08582150627769,23.414302726645158
2026-10-31,-8.660273569605124,6.485067626472071,24.6132249541637
2026-11-30,-3.8502724957052124,1.1030946228036589,25.809052203759894
2026-12-31,129.9032147713442,23.82886515009623,25.509284103330316
2027-01-31,162.8860476021946,53.08637244848357,25.103039391265284
2027-02-28,32.82752857268133,39.53085032852884,26.048643019143814
2027-03-31,12.561701310847639,21.63206100336609,27.382437050223363
2027-04-30,99.0499922735471,25.65563517000059,27.9265770040939
2027-05-31,156.9183877082105,48.711378479936606,26.751716644667415
2027-06-30,59.92775391886971,43.94855723673825,25.295824485562925
2027-07-31,-3.344908189774287,23.33057196049525,24.184124054073123
2027-08-31,1.9645452807881156,13.854220628788658,23.351447064053197
2027-09-30,8.787478012115571,11.042428895936387,23.423557507324855
2027-10-31,-9.2566234433707,6.49963398825925,24.63766004061642
2027-11-30,-6.007327613369853,0.6982704488242187,25.865064224091295
2027-12-31,130.4229823692731,23.610739986171843,25.548548152964653
2028-01-31,163.26087687756808,53.26605772637694,25.124643487119275
2028-02-29,30.349042606256262,39.02521346954343,26.09144887406854
2028-03-31,11.833813072649718,20.92186013350485,27.453658642559635
2028-04-30,102.09647607879015,25.686338394755204,27.995519969005226
2028-05-31,159.4911944499181,49.591046838499786,26.780133564552976
2028-06-30,57.31133264164964,43.912431310429405,25.323347455093913
2028-07-31,-4.630260184983854,22.894673565684066,24.21337979146235
2028-08-31,2.264131906585135,13.667941005603403,23.374790209658627
2028-09-30,9.17593913953715,11.035533207981064,23.448459375394595
2028-10-31,-9.40412830506466,6.509190436617537,24.67224518838668
2028-11-30,-6.452416128631739,0.5540512227942119,25.911100598022227
2028-12-31,132.94934380659834,23.96558526965021,25.579494384766125
2029-01-31,164.09497068567725,53.76370863818432,25.1523005196416
2029-02-28,29.46441809561111,39.05864124256407,26.12351195257622
2029-03-31,11.5598558069114,20.792510078313118,27.495741414624806
2029-04-30,103.14428924105596,25.718965520115322,28.039423455433433
2029-05-31,160.75767896410252,49.91570506567867,26.81313316247973
2029-06-30,56.89361684834512,43.9756648789588,25.35937862077402
2029-07-31,-4.8206644989313645,22.813277319639596,24.252091034495155
2029-08-31,2.510057723798127,13.652442754460433,23.41059278833091
2029-09-30,9.498232892385204,11.075744490301297,23.477055218379398
