# Evaluation Metrics for Tharaka-Nithi
# Rainfall RMSE: 92.7714, MAE: 55.0007, R²: 0.5816
# Soil Moisture RMSE: 10.1997, MAE: 6.4470, R²: 0.7297
# Temperature RMSE: 0.1306, MAE: 0.0991, R²: 0.9775
Date,Tharaka-Nithi_rain_forecast,Tharaka-Nithi_soil_forecast,Tharaka-Nithi_temp_forecast
2024-10-31,-5.567130511469259,6.245359266014666,21.205388074785574
2024-11-30,41.559574480740594,5.095051921201721,21.858752968645636
2024-12-31,165.80675032961517,21.474389668996388,21.05737919522193
2025-01-31,118.15163646916517,29.222463711255806,20.56895575833773
2025-02-28,45.377947278921056,20.71627334732513,21.230234538740756
2025-03-31,39.66849825462623,11.705431142138217,22.205655649178308
2025-04-30,136.62335605889712,15.041032024382952,22.821016229376333
2025-05-31,262.28853264713143,40.892482651528624,22.17231705815381
2025-06-30,77.43822580550068,35.46089040403266,21.325554709742484
2025-07-31,1.3903267177503267,16.64570255407377,20.413418363458657
2025-08-31,3.1776183985060698,7.792515193169174,19.84419273182049
2025-09-30,-0.2877922306579421,4.159970101525267,20.139981619379846
2025-10-31,-14.144734195617048,0.5283129165808395,21.133017880862372
2025-11-30,30.769289450477117,-0.18543695894685505,21.712867855589508
2025-12-31,137.68057259452326,13.65438583769282,21.021989209598235
2026-01-31,101.94511948658692,21.26047909544661,20.58720217365914
2026-02-28,37.997342163363555,14.850764069643734,21.259025822754353
2026-03-31,35.20890041513235,7.11088425916401,22.267092664221042
2026-04-30,139.11472469928958,12.183502540465122,22.858608476250744
2026-05-31,257.4965855694718,39.12110113902368,22.189230287407796
2026-06-30,70.14645906437272,33.59016938018707,21.309498187545323
2026-07-31,1.1898700338583694,15.617416530899344,20.302350138681177
2026-08-31,4.368639378428725,7.161042066134033,19.706314909153466
2026-09-30,0.5494132673700278,4.127529304445069,20.056497561718782
2026-10-31,-15.241041844575648,0.6780668356793099,21.17122412561885
2026-11-30,42.101184773646764,1.1616316150436743,21.77170217598018
2026-12-31,172.756036574865,20.064367320472687,20.887497222778983
2027-01-31,116.56080321762965,29.046313897874054,20.467122482957567
2027-02-28,41.46949279132696,20.764363393774723,21.256498194057958
2027-03-31,32.41318058248953,10.575587625184546,22.341865703465725
2027-04-30,141.73774397535635,14.05314142271028,22.984311256052155
2027-05-31,297.3705650839929,45.91754312059694,22.162121558420047
2027-06-30,68.88418939146413,38.32687989696999,21.267036205175074
2027-07-31,-4.562511477894304,16.79004066714116,20.228709885118196
2027-08-31,1.992998731343505,7.52188191090501,19.596601820806463
2027-09-30,-1.8655120279272523,4.289158911923717,19.967393476375317
2027-10-31,-21.35762081157486,0.46965856471755846,21.149097792288785
2027-11-30,35.964451788049246,0.3432092651138093,21.781018681538143
2027-12-31,176.16935846412343,20.073080191725456,20.819397338816575
2028-01-31,117.01918764761467,29.33767372641996,20.38695155248004
2028-02-29,39.490138268995224,20.620613933110587,21.253383018126186
2028-03-31,31.44341835366913,10.030581826394908,22.414746786731563
2028-04-30,156.35284123706697,14.9706248466359,23.070391212018563
2028-05-31,315.95544979605074,50.14864064774233,22.1501773770437
2028-06-30,47.76436136763732,37.848649440141514,21.259324494639944
2028-07-31,-11.453121466465518,15.565245342383784,20.12060217346334
2028-08-31,-0.44526217867883133,6.529279371057568,19.450260893307473
2028-09-30,-4.11576846415187,3.757912353257227,19.860624093969186
2028-10-31,-27.377737302826972,-0.15742685878063384,21.142476926016407
2028-11-30,33.00106917039329,-0.5861899516859755,21.813154502878223
2028-12-31,186.97397680486392,20.99708365474115,20.739058642663252
2029-01-31,119.54609632953361,30.871386491242905,20.296830158120763
2029-02-28,38.110495556302794,21.521147430561015,21.253858762396597
2029-03-31,28.964861135836827,10.013149966254696,22.498928908797637
2029-04-30,168.2893688475724,15.654150887916202,23.19238992162916
2029-05-31,342.37502523344665,55.269889366556065,22.154018108909103
2029-06-30,28.525255453866293,38.42285878766205,21.255020141717203
2029-07-31,-18.334603059882284,14.777684165280528,20.0070932642448
2029-08-31,-3.022648276013342,5.709994179736964,19.29076265184968
2029-09-30,-6.705699140500428,3.319034601086867,19.742420929702554
