# Evaluation Metrics for Nyeri
# Rainfall RMSE: 95.2911, MAE: 60.5369, R²: 0.3846
# Soil Moisture RMSE: 6.2476, MAE: 4.2822, R²: 0.7101
# Temperature RMSE: 0.1141, MAE: 0.0906, R²: 0.9819
Date,Nyeri_rain_forecast,Nyeri_soil_forecast,Nyeri_temp_forecast
2024-10-31,56.70803234904724,7.422632682286461,17.25141024032229
2024-11-30,82.64491546065074,6.861198599008957,17.722503004961908
2024-12-31,130.6658271515289,11.522773911296722,17.224129388234307
2025-01-31,113.15819652347726,15.47681168474446,16.95219806751934
2025-02-28,72.36126273021455,14.695240274178557,17.50703849286088
2025-03-31,83.52693222782364,10.7306834961509,18.387264913076805
2025-04-30,166.15742837875587,12.259127657585848,18.672257824589593
2025-05-31,194.7469831217859,19.455898466871414,17.97486275563726
2025-06-30,96.71035306928388,16.502570802585183,17.01850884900749
2025-07-31,41.247296543576795,8.798081895798418,16.234398051851205
2025-08-31,45.4001005297755,5.233352273625086,15.92394868443011
2025-09-30,46.95006400793318,3.968481883332799,16.4295906702173
2025-10-31,36.1682765411274,2.3247685540098355,17.34460916674718
2025-11-30,61.19715496793105,2.544856860862836,17.55516179615988
2025-12-31,90.63394042827895,5.777506002711049,17.074274968730375
2026-01-31,70.00645467328468,7.612340032040094,16.998697467099323
2026-02-28,48.64595881608693,6.3363754062179956,17.67240521003454
2026-03-31,87.36258627793632,4.970220987828497,18.495775766442673
2026-04-30,176.5959175395892,10.844201810257799,18.57250874739163
2026-05-31,161.4662963651881,17.087524283433822,17.739480711399963
2026-06-30,64.96671338395572,12.040694332688984,16.795949557554763
2026-07-31,37.67154841177671,5.989322436447508,16.07072900793582
2026-08-31,50.27776364339615,3.983846536261353,15.917562628275721
2026-09-30,48.951716641749954,3.26593878938425,16.598921708868733
2026-10-31,48.77213847294115,2.475679265810086,17.44530264012596
2026-11-30,90.87927193302221,4.904504972990423,17.390630159909193
2026-12-31,107.56616786020457,9.224913672037927,16.875718288949358
2027-01-31,70.55442053303977,10.642085783211028,16.964731828742526
2027-02-28,47.195513177666726,8.260892539012275,17.75985839016726
2027-03-31,92.78581916423718,6.117503500257526,18.560008827640253
2027-04-30,186.43407991999084,12.372271160576075,18.5083146404062
2027-05-31,161.00835491981798,18.22360627708815,17.603244440999948
2027-06-30,61.81701413675,12.377368418239142,16.677646345645787
2027-07-31,37.19021302697456,6.157465132717646,15.983386603843902
2027-08-31,49.58316581211193,4.1084786073103885,15.897490648774868
2027-09-30,46.33371339518817,3.2187108534469924,16.64050423475196
2027-10-31,48.21761546418202,2.4079623062085314,17.45803993710763
2027-11-30,92.00964740423387,5.061845821106487,17.327833291820827
2027-12-31,104.35668410111701,9.259332091015606,16.82217961976999
2028-01-31,66.43572869720629,10.403333704746272,16.972241957381275
2028-02-29,47.869845888578766,7.874821471710788,17.800743757384907
2028-03-31,100.98573188490717,6.28183041113155,18.559516056856552
2028-04-30,191.21823145678718,13.279680197854473,18.40757344811754
2028-05-31,150.55679424824575,18.04377849720845,17.47855955528545
2028-06-30,56.28695748449672,11.657591387679473,16.574085355325096
2028-07-31,37.43676129468554,5.838582428552825,15.91413684878093
2028-08-31,49.79190885328535,4.016059035646123,15.899232845480313
2028-09-30,44.85073338695429,3.070053997152143,16.6903427407047
2028-10-31,49.815613000419035,2.3829844422320146,17.450136127462333
2028-11-30,94.37415747445357,5.325416121775844,17.245068738048047
2028-12-31,101.3104765612752,9.3735340883631,16.769628561600545
2029-01-31,62.78293673881307,10.244759103371164,16.992886472501805
2029-02-28,49.54021274224942,7.604305886344775,17.85169805805193
2029-03-31,109.98877234517293,6.631120534754671,18.55897897565653
2029-04-30,195.058046568829,14.249300939553732,18.306047815381696
2029-05-31,139.78483180812873,17.82301821996225,17.35474432235721
2029-06-30,51.10563846981221,10.963443802458867,16.465309248120867
2029-07-31,37.94154677721053,5.545052399481192,15.845674820926781
2029-08-31,49.79028293705596,3.919773790532019,15.90974117026955
2029-09-30,43.32762159442041,2.9116754775186275,16.74795565527925
